stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,465.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,18.4,13.14,0,0,68.35,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,481.05,23.66,0,0,202.41,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,31.47,0,0,25.18,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,528.69,22.03,0,0,173.08,0,6.29,3.15,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,3,22,9,13,0,3,3,0,2,0,2,0,0,1,0,18,0,0,19,113,2,0,0,6,0,6,0,29,0,1,34,49,0,2,0,0
 24-34,0,0,0,2.46,0.82,13.13,0,1.64,1.64,0,0.82,0,0.82,0,0,0.82,0,12.31,0,0,5.75,111.64,0,0,0,0,0,3.28,0,0,0,0,3.28,22.16,0,4.1,0,0.82
 36-46,0,0,0,1.61,0,16.92,0.81,4.83,0,0,0,0,0,0.81,0,0,0,16.92,0,0,4.03,71.7,0,0,0,0,0,3.22,0,0,0,0.81,0,23.36,0,0.81,0,0.81
 48-58,0,0,0,0,0,14.35,1.15,4.59,0,0,0,0,0,0.57,0,0,0,12.62,0,0,1.72,35,0.57,0,0,0,0,0,0,0,0,0,0,15.49,0,0,0,0.57
 60-70,0,0,0,1.96,0.98,2.94,0,2.94,0,0,0,0,0,0,0,0,0,6.87,0,0,0,17.67,0,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0.98,0.98
 72-82,0,0,0,0.98,7.85,10.8,0,5.89,0,0,0,0,0,0,0,0,0,14.72,0.98,0.98,2.94,24.54,0,0.98,0.98,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,0,4.25,8.5,0,1.06,0,0,0,2.12,0,0,0,0,0,10.62,0,0,1.06,9.56,0,0,1.06,0,0,1.06,0,0,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,6.56,2.19,1.09,3.28,0,0,0,1.09,0,0,1.09,0,0,6.56,0,0,1.09,9.84,0,1.09,3.28,0,1.09,1.09,0,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0,3.06,4.6,3.06,0,0,0,0,0.77,3.06,0,0,0.77,0,0,9.19,0,0,3.06,6.89,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,1.96,3.92,7.84,0,0,0,0,3.92,1.96,0,0,0,0,1.96,0,0,0,0,9.8,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
