stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,3,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1,18,2,0,0,0,1,0,1,1,6,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,1.64,0,2.46,18.06,0,0,0,0,0,0,3.28,0.82,4.93,0,0,0,0,0
 36-46,1.61,0,0,8.86,1.61,0,0,4.83,0,0.81,0,0,0,0.81,4.83,0,0.81,34.64,0.81,0,0,0.81,0,0,1.61,0,9.67,0,0,0,0,0
 48-58,0.57,0,0,9.75,1.72,0,0.57,0.57,0,0,0,0.57,0,0,7.46,0,1.15,16.07,0.57,1.15,0,0.57,0,0,1.15,0,4.02,0,0,0,0,0.57
 60-70,2.94,0,0,29.45,1.96,0,0,6.87,0,0,0,0,0,0,13.74,0,0.98,29.45,0,0,0,0.98,0,0,2.94,0,4.91,0,0.98,0,0,0
 72-82,1.96,0,0,12.76,0,0,1.96,5.89,0,0,0,0,0.98,0,18.65,1.96,0.98,19.63,0,0,0.98,0,0,0,0.98,0,1.96,0.98,0,0.98,0.98,0
 84-94,0,0,0,4.25,0,0,0,0,0,0,0,0,1.06,0,4.25,0,2.12,5.31,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,2.19,0,0,7.65,1.09,0,0,0,0,0,1.09,0,0,0,5.46,0,1.09,5.46,0,0,0,3.28,0,0,2.19,0,0,0,0,0,0,0
108-118,1.53,0.77,0.77,6.89,0,0.77,0,6.13,0.77,0,0.77,0.77,0,0,13.79,0,0.77,9.19,0.77,0,0,0,0,0,0,0,0,0,0,1.53,0,0
120,3.92,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,9.8,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
