stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,mucous,muscle,neural,olfactory,pronephros,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,7.39,0,0.82,6.57,4.1
 36-46,0,0,0,0,0,0,0,0,17.72,0,0,10.47,2.42
 48-58,0,0,0,3.44,1.15,0,0,0,26.97,0,0,8.61,5.16
 60-70,0,0,0,1.96,0,0.98,0,0,106.99,0,0,24.54,2.94
 72-82,0,0,0,12.76,0,0.98,0,0,131.54,0,0,22.58,4.91
 84-94,0,1.06,0,7.43,1.06,0,0,0,88.15,0,0,14.87,4.25
 96-106,0,0,0,5.46,3.28,2.19,1.09,0,91.8,0,0,5.46,2.19
108-118,0,0.77,0.77,11.49,5.36,2.3,0,0,78.13,0,2.3,4.6,1.53
120,0,0,0,13.72,13.72,0,0,1.96,94.07,1.96,0,5.88,3.92
