stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0,4.1,0,0,0,1.64,0,0,2.46,0,0,0,0,0,11.49,0.82,0,1.64,0
 36-46,0,0,1.61,0,0,0,0,0,1.61,0.81,0,3.22,0,0,0,0,0.81,0,2.42,0,0.81,0,0,0,4.03,0,0,0.81,0
 48-58,0,0,0.57,0,1.15,0,0,0,0,0,0,2.87,0,0,0,0.57,2.87,0,0.57,0,0,0,0,0.57,3.44,0.57,0,0,0
 60-70,0.98,0,1.96,0,0,0,0,0,0,0.98,0,16.69,0,0,0,0,1.96,0,3.93,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,4.91,0,1.96,0.98,1.96,0.98,0,0,0,40.25,0.98,0,0,1.96,2.94,0,3.93,0,0,0.98,0,0,10.8,0,0,0,0
 84-94,0,0,6.37,0,3.19,0,1.06,0,1.06,1.06,0,64.78,0,1.06,0,1.06,1.06,0,0,0,1.06,0,0,0,19.12,0,0,2.12,1.06
 96-106,0,0,25.14,1.09,3.28,1.09,0,0,0,0,1.09,113.66,0,0,0,2.19,3.28,2.19,7.65,1.09,2.19,0,0,1.09,18.58,1.09,1.09,0,1.09
108-118,0,0,13.02,0,1.53,0,0,0,1.53,0.77,0,100.34,0,0,0.77,0.77,3.83,0,6.89,0,0.77,0,0,1.53,14.55,0,0.77,0,0.77
120,0,0,25.48,0,3.92,1.96,1.96,0,0,0,0,58.79,0,0,0,0,1.96,0,1.96,0,3.92,0,0,0,7.84,0,0,0,0
