stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,18.4,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
 24-34,0,0,0,0.82,7.39,0,0,0,0.82,0.82,0.82,0.82,0,2.46,0,0.82,0,11.49,0,0,0,0,0,0,0,22.98
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0.81,0,0,0,7.25,0,0,0,0,0,0,0.81,19.34
 48-58,0,0,0,0,2.87,1.15,0,1.15,0,0,0,0,0,1.72,0,0,1.15,6.89,0,0,0,0,0,0,2.3,25.82
 60-70,0,0,0,0.98,5.89,0.98,0.98,0,0,0,0,0.98,0,1.96,0,0,0.98,7.85,0,0,0,0,0,0,0,20.61
 72-82,0,0,0,0,20.61,0.98,0,0,0,0,0,4.91,0,2.94,0,0,0,0.98,0,0,0,0,0,0,0,36.32
 84-94,0,0,1.06,4.25,10.62,1.06,0,0,2.12,0,0,6.37,1.06,1.06,0,0,1.06,2.12,1.06,0,0,0,0,0,0,28.68
 96-106,0,0,1.09,1.09,15.3,0,0,0,1.09,0,0,7.65,5.46,2.19,1.09,0,0,6.56,0,0,1.09,2.19,0,0,0,43.71
108-118,0,0,0,1.53,13.79,0,0,0,0,0,0,7.66,3.83,2.3,0,0,0,1.53,0,0,0,0,0.77,0,0,36
120,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,3.92,5.88,0,0,0,1.96,0,0,0,45.08
