stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,1,0,0,1,0,3,3,0,1,7,0,0,0,0,0,1,3,1,0,0,0,4
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,6.57,5.75,0.82,0.82,4.1,0,0.82,0,0.82,0,0,0,0,0,0,0,23.8
 36-46,0,0,0,0,1.61,0,0,0,0,2.42,0,24.17,0,0,0,4.83,0,0,0,0,0,0,0,0,0.81,0,0.81,18.53
 48-58,0,0,0,0,4.02,0,0,0,0,1.15,0,33.28,0.57,0,0.57,2.87,0,0,0,0,0,0,0,0,0,0,0,15.49
 60-70,0,0,0,0,1.96,0,0,0,0,3.93,0,18.65,0.98,1.96,0,2.94,0,0,0,0,0,0,0,0,0.98,0,0,17.67
 72-82,0,0,0,0,1.96,0,0,0,0,3.93,0,21.6,0.98,0,0,6.87,0,0,0,0,0,0,0,0,0.98,1.96,0,28.47
 84-94,0,0,0,2.12,11.68,0,0,0,1.06,11.68,0,23.36,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,2.12,0,28.68
 96-106,0,0,0,1.09,8.74,1.09,1.09,0,0,7.65,0,25.14,0,0,0,2.19,0,0,0,2.19,0,0,0,0,0,1.09,0,36.06
108-118,0,0,0,2.3,9.96,0,0.77,1.53,0,19.92,0,34.47,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0.77,0,48.26
120,0,0,0,1.96,3.92,0,0,0,0,1.96,1.96,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.56
