stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,3360.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,226.8,3892.32,6.13,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,128.72,6.13,0,0,55.17,0,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,39.43,47.32,0,0,0,120.92,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,1156.63,44.69,0,0,349.62,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,34.62,0,9.44,0,66.09,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,569.6,18.88,0,0,258.05,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,34,7,0,24,0,0,8,2,0,0,0,1,0,0,0,0,28,1,0,17,424,7,1,3,9,0,1,0,41,3,0,22,100,0,0,0,0,0
 24-34,0,0,1.64,7.39,0.82,0,60.74,0,0,12.31,0.82,0,0,0,2.46,0.82,0,0,0,51.71,0,0,17.24,580.35,0.82,10.67,4.1,0,0,0,0,0,0,0.82,4.1,120.67,0,0,4.93,0,0
 36-46,0,0,0,1.61,0,0,66.06,0.81,0.81,8.06,0,0,0,0,0.81,0,0,0,0,16.92,0,0,6.45,222.36,0,0.81,2.42,0,0,0.81,0,0,0,0,0,51.56,0,0,2.42,0,0
 48-58,0.57,0,0,4.59,0,0,99.27,2.3,1.72,19.51,0,0,1.15,1.15,0,0.57,1.15,0.57,0,36.72,0.57,2.3,6.31,143.45,0,1.15,1.15,0,0.57,0,0,0,0,0,0,32.13,0,0,4.02,0,1.72
 60-70,0,0,0,1.96,0,0,70.67,0,0,14.72,0.98,0,0,0,0,0,0,0,0.98,30.43,0,1.96,1.96,64.78,1.96,1.96,0,0,0,2.94,0,0,0,0,0,1.96,0,0,0.98,0.98,0
 72-82,0,0,0,1.96,0,0,28.47,1.96,1.96,10.8,0.98,0,0.98,0,0,0,0,0,0,23.56,0,1.96,1.96,42.21,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,3.19,1.06,0,29.74,0,0,7.43,0,0,0,0,1.06,1.06,0,0,0,25.49,0,2.12,5.31,27.61,0,1.06,0,0,0,2.12,0,0,0,0,0,1.06,0,0,2.12,0,0
 96-106,0,0,0,7.65,0,1.09,25.14,0,0,14.21,2.19,0,0,2.19,1.09,1.09,1.09,0,0,10.93,0,1.09,2.19,41.53,0,1.09,3.28,0,0,3.28,0,0,0,0,0,2.19,0,0,4.37,0,0
108-118,0,0,0,3.83,0,0,16.85,0.77,0.77,4.6,0.77,0,0,0,0.77,0,0.77,0,0,9.19,0.77,1.53,1.53,26.81,0,1.53,0.77,0,0,1.53,0,0,0,0,0,0,1.53,0,0,0,1.53
120,0,0,0,7.84,0,0,21.56,1.96,0,9.8,0,0,0,1.96,0,0,0,0,0,3.92,0,0,1.96,33.32,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,1.96
