stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,57,2,2,0,0,0,3,5,0,0,0,0,0,0,0,0,7,0,0,2,62,1,1,0,0,0,5,1,0,0,45,0,0,2,0,0
 24-34,0,0,0,1.64,76.34,0.82,13.95,0.82,1.64,0,5.75,1.64,0,0,0,0.82,0.82,20.52,0.82,7.39,36.12,0,0,4.93,384.16,2.46,4.93,0.82,0,0,0.82,0,0,0,129.7,0,0,32.01,0,2.46
 36-46,0,0,0,0,21.75,0,69.29,0,0,0.81,9.67,2.42,0,4.83,0,0,0.81,25.78,0.81,8.86,48.34,0,2.42,3.22,1222.2,0,6.45,0.81,0,0,2.42,0,0,0,230.42,0,0,34.64,0,2.42
 48-58,0,0,0,0,14.35,0,322.48,0.57,1.15,1.15,23.53,0,0,1.15,0,0,1.15,21.8,0,13.2,38.44,0,2.3,10.33,1991.1,0.57,4.02,4.02,0,0,0.57,0,0,0.57,331.09,0,0,27.54,0,4.02
 60-70,0,0,0,0,6.87,0,972.69,0.98,3.93,0,62.82,1.96,0,1.96,0.98,0,6.87,19.63,0.98,11.78,64.78,0,1.96,1.96,2777.71,0,2.94,3.93,0,0,3.93,0,0,0,350.4,0,0.98,31.41,0.98,0.98
 72-82,0,0,0.98,0.98,15.71,2.94,1311.5,1.96,1.96,1.96,143.32,0,0,0,1.96,0.98,10.8,27.49,0.98,2.94,77.55,0.98,2.94,7.85,2051.67,0,9.82,9.82,0,0,1.96,0,0.98,0,142.34,0.98,3.93,61.84,0.98,0
 84-94,0,0,2.12,0,46.73,2.12,725.37,3.19,3.19,3.19,95.58,0,0,3.19,3.19,0,15.93,20.18,4.25,14.87,67.97,1.06,9.56,5.31,1016.37,0,1.06,7.43,0,0,6.37,0,0,0,91.34,0,2.12,71.16,1.06,3.19
 96-106,0,0,0,0,26.23,1.09,549.7,0,6.56,1.09,83.06,0,0,0,3.28,1.09,13.11,21.86,3.28,7.65,52.46,0,3.28,2.19,695.05,2.19,4.37,7.65,0,0,4.37,0,1.09,2.19,42.62,1.09,2.19,83.06,0,2.19
108-118,0,0,0.77,0.77,39.06,0.77,389.11,2.3,6.13,1.53,72,1.53,0,0,1.53,0,33.7,16.85,5.36,14.55,34.47,0.77,4.6,0.77,777.45,0,4.6,5.36,0,1.53,0.77,0,1.53,0,26.81,0,0.77,67.4,0.77,3.83
120,0,0,0,0,33.32,0,295.93,0,3.92,1.96,56.83,0,0,0,1.96,1.96,9.8,5.88,1.96,9.8,33.32,1.96,5.88,3.92,658.49,0,0,7.84,0,1.96,5.88,0,1.96,1.96,27.44,0,0,43.12,0,0
