stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,21.03,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,84.97,270.64,0,0,62.94,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,29,4,0,24,0,0,0,4,2,2,1,0,1,0,0,0,1,57,0,0,28,620,464,0,3,59,0,0,0,30,0,94,131,95,0,0,0,0,0
 24-34,0,0,0,42.68,2.46,0,32.01,30.37,0.82,10.67,35.3,1.64,0,1.64,0,0,0,0.82,0,0,193.72,0,0,53.36,1028.53,141.19,1.64,12.31,0,0,2.46,0,0.82,0.82,22.98,128.05,166.63,0,0,2.46,0,0
 36-46,0,0,0,14.5,0,0,7.25,63.65,0.81,24.98,130.52,1.61,0,0.81,0,0.81,0,0,0,0,221.56,0.81,7.25,76.54,609.89,66.06,0,10.47,0,0.81,0.81,0,0.81,0,24.17,3.22,161.13,0,1.61,0,0.81,0
 48-58,0.57,0,0.57,6.31,0.57,0,29.26,43.04,0,22.95,353.46,0,0,0.57,0,1.15,0.57,0,1.15,1.15,362.07,0,9.18,54.51,321.9,25.82,0,14.92,0,0,0,0,0,0,12.62,0.57,158.37,0,4.02,0,0.57,1.15
 60-70,0,0,0,2.94,0,0,13.74,36.32,0.98,17.67,452.48,0.98,0,1.96,0,0,0,0,0,0,540.82,0,14.72,42.21,137.41,10.8,0,12.76,0,0,0.98,0,0,0,10.8,0,87.36,0,10.8,0.98,5.89,0
 72-82,0,0,0,5.89,0.98,0,51.05,27.49,1.96,12.76,522.24,0,0,0,0,0.98,0,0.98,0,0,566.42,0,10.8,45.16,152.16,5.89,0,13.74,0,0,0.98,0,0,0,3.93,0,34.36,0.98,23.56,0,26.5,0
 84-94,0,0,0,5.31,0,0,73.28,37.17,0,9.56,352.6,0,0,0,0,0,1.06,1.06,0,1.06,456.68,1.06,10.62,29.74,91.34,6.37,0,35.05,0,0,3.19,0,0,0,5.31,0,30.8,0,19.12,0,38.23,0
 96-106,0,0,0,15.3,1.09,1.09,62.29,44.81,2.19,9.84,369.38,0,0,1.09,0,0,0,3.28,2.19,0,358.45,0,12.02,30.6,83.06,9.84,1.09,34.97,1.09,1.09,3.28,0,0,0,3.28,0,5.46,0,17.49,1.09,54.64,1.09
108-118,0,0,0,10.72,0.77,0.77,35.23,44.43,2.3,11.49,348.51,0,0,0.77,0.77,0.77,0,0,0.77,0.77,286.47,0,6.13,23.74,95.75,10.72,0,28.34,0,3.06,0.77,0,0,0,1.53,0,7.66,0,12.26,2.3,34.47,0
120,0,0,0,3.92,0,0,37.24,23.52,1.96,9.8,417.43,1.96,0,0,1.96,0,0,0,0,0,227.34,0,0,25.48,107.79,9.8,0,25.48,0,0,3.92,0,0,0,0,0,9.8,1.96,11.76,0,27.44,0
