stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,11,6,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,17,0,0,14,6,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0
 24-34,0,0,32.01,1.64,0,1.64,0,3.28,2.46,0.82,0,0,9.85,47.61,1.64,0,0.82,0.82,0,112.46,0.82,5.75,67.31,54.18,17.24,0,2.46,2.46,8.21,0,0.82,0,2.46,12.31,0,0,9.85,0,0
 36-46,0,0,13.7,1.61,0,4.83,0.81,8.06,4.03,0.81,0.81,0,11.28,33.84,2.42,0.81,0.81,0,0,112.79,0.81,27.39,37.06,32.23,8.06,0.81,1.61,0.81,4.83,0,0,0,0,0,0,0.81,9.67,0,0
 48-58,0,0,15.49,4.02,0,8.61,0,10.33,17.21,4.02,0,0.57,6.31,64.84,0.57,2.3,1.15,0,1.15,115.91,0.57,52.79,41.89,45.9,5.16,0,0.57,5.74,1.15,0,0,0,0,5.16,0,4.02,10.9,1.15,1.15
 60-70,0,0,22.58,6.87,0,12.76,0.98,13.74,20.61,4.91,4.91,0,13.74,112.88,1.96,0,0.98,0.98,0,276.79,0.98,115.82,56.93,55.95,3.93,0.98,0.98,13.74,0,0,0,0,0,4.91,0,22.58,21.59,24.54,0
 72-82,2.94,0,22.58,35.34,0.98,75.59,3.93,6.87,65.77,36.32,14.72,0,34.36,189.46,0.98,0,2.94,0.98,0,554.64,0.98,103.07,115.84,106.02,3.93,0.98,4.91,22.58,3.93,0,1.96,0.98,0,7.85,0,44.17,55.95,92.28,0.98
 84-94,0,0,16.99,19.12,0,52.04,0,4.25,46.73,24.43,7.43,0,24.43,195.41,1.06,1.06,2.12,1.06,0,326.05,0,134.88,66.91,45.67,1.06,0,2.12,19.12,9.56,0,1.06,0,0,7.43,0,50.98,28.68,97.71,1.06
 96-106,2.19,2.19,21.86,9.84,1.09,52.46,0,10.93,43.71,18.58,14.21,0,44.81,263.38,1.09,2.19,5.46,5.46,0,479.76,0,106.01,89.61,90.71,2.19,3.28,3.28,53.55,8.74,0,4.37,0,0,3.28,1.09,37.16,59.01,115.84,4.37
108-118,0.77,0.77,21.45,10.72,1.53,28.34,0.77,10.72,51.32,33.7,16.09,0,30.64,190.72,3.06,2.3,0,1.53,0,528.51,0.77,85.02,93.45,71.23,3.06,1.53,1.53,62.81,2.3,0,3.06,0,0,3.83,0.77,19.15,33.7,76.6,2.3
120,0,0,23.52,29.4,0,45.08,0,5.88,66.63,23.52,33.32,0,45.08,352.76,5.88,1.96,5.88,9.8,0,619.29,0,101.91,123.47,94.07,9.8,0,7.84,54.87,3.92,0,0,0,0,5.88,0,31.36,72.51,97.99,1.96
