stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,28,12,0,31,0,0,0,38,2,3,0,0,0,0,0,2,23,0,0,21,340,2,3,6,5,0,7,1,30,59,55,161,0,0,4,0,0
 24-34,1.64,4.1,18.06,3.28,0,67.31,0,0,0.82,46.79,0,2.46,0,0,0.82,2.46,1.64,1.64,56.64,1.64,0,13.13,618.93,2.46,18.88,9.85,0,0.82,16.42,0,0,34.48,13.95,191.26,0,0,4.1,0,4.1
 36-46,0,0,8.06,0,0,68.48,0.81,0.81,0.81,44.31,0,0,1.61,0,0.81,0.81,0.81,1.61,41.09,0,0,8.06,601.83,1.61,32.23,2.42,0,0,12.89,0,0,20.14,0,145.83,0,0,3.22,0,2.42
 48-58,0,0.57,8.61,0,0,117.06,0,1.72,2.3,51.64,2.3,4.02,1.72,1.72,1.72,1.15,0.57,2.3,73.45,0,2.3,13.77,302.4,0.57,20.08,5.16,0,0,8.03,0,0,8.61,0,87.22,0,0.57,5.16,0,0
 60-70,0.98,0,7.85,0,0,119.75,0,2.94,2.94,50.06,4.91,0,2.94,0.98,0.98,0.98,0.98,0,64.78,0,2.94,12.76,229.68,0.98,23.56,2.94,0,0,8.83,0,0,8.83,0,38.28,0.98,0.98,5.89,0,0
 72-82,1.96,0.98,11.78,0.98,0,90.31,0,1.96,0.98,50.06,4.91,0,4.91,4.91,0.98,3.93,0,0,97.18,0.98,3.93,18.65,131.54,0,37.3,10.8,0,0.98,6.87,0,0,10.8,0,22.58,2.94,2.94,9.82,2.94,1.96
 84-94,3.19,0,20.18,0,1.06,57.35,2.12,4.25,2.12,25.49,6.37,3.19,5.31,2.12,2.12,2.12,0,1.06,78.59,1.06,2.12,14.87,83.9,1.06,43.54,7.43,0,0,28.68,0,0,15.93,0,18.05,1.06,0,5.31,1.06,2.12
 96-106,3.28,0,16.39,3.28,0,51.36,1.09,1.09,3.28,37.16,13.11,4.37,12.02,4.37,4.37,3.28,0,0,49.18,1.09,1.09,7.65,87.43,0,66.66,5.46,0,1.09,30.6,0,0,12.02,0,12.02,3.28,1.09,9.84,4.37,3.28
108-118,2.3,0,22.98,0.77,5.36,32.94,0.77,2.3,3.83,26.81,6.13,1.53,6.13,0.77,3.83,0,0.77,1.53,41.36,0,3.83,9.19,78.89,0.77,52.09,3.06,0,0.77,22.21,0,0,13.02,0,9.19,1.53,0.77,4.6,0.77,5.36
120,0,1.96,35.28,3.92,3.92,29.4,0,5.88,0,29.4,5.88,0,15.68,3.92,1.96,5.88,0,0,43.12,3.92,1.96,13.72,96.03,0,33.32,1.96,0,0,21.56,0,0,15.68,0,0,0,0,5.88,0,0
