stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,0,0,0,1,0,4,6,0,0,0
 24-34,1.64,3.28,0.82,0,12.31,0,0.82,0,0.82,0,0,0,0,0,0,0,0.82,3.28,0,0,0,57.46,0,0,0.82,0,0,4.1,0.82,2.46,9.03,0,0.82,0
 36-46,0,0.81,0.81,0,9.67,0.81,0,0,7.25,0,0,0,0.81,0,0,0,0,7.25,0,0.81,1.61,50.76,0,0,0.81,0,0,4.03,0,0,13.7,0,0.81,0
 48-58,0,2.3,0,0,16.64,1.15,0.57,0.57,8.03,0,0,0,0.57,0,0.57,0,1.15,11.48,0.57,0,3.44,47.63,0.57,1.72,2.3,0,0,2.87,0,0,12.62,0,0.57,0
 60-70,0,4.91,0,0,13.74,1.96,0.98,0,13.74,0.98,0.98,0.98,0.98,0,0,0,0,10.8,0,0.98,2.94,62.82,0,2.94,0,0,0,2.94,0,0,6.87,0,0,0
 72-82,0,4.91,0,0,22.58,0,0.98,1.96,22.58,0.98,0,0,0.98,0,1.96,0,0.98,24.54,0,0.98,1.96,64.79,0,0,2.94,0,0.98,2.94,0,0,2.94,0,2.94,0
 84-94,0,7.43,0,1.06,12.74,0,0,0,2.12,0,0,1.06,1.06,0,2.12,0,2.12,6.37,0,0,2.12,26.55,3.19,1.06,3.19,0,0,1.06,0,0,5.31,0,2.12,0
 96-106,0,2.19,0,0,5.46,0,0,0,8.74,0,0,2.19,0,1.09,1.09,0,0,12.02,0,1.09,0,16.39,0,0,3.28,0,0,4.37,0,0,1.09,0,1.09,0
108-118,0,3.83,0,0,6.13,2.3,0.77,0.77,7.66,0.77,0,0,0.77,2.3,0,2.3,0.77,9.19,0,0,2.3,17.62,1.53,0,0.77,0,0,3.06,0,0,0,0.77,0.77,0.77
120,0,5.88,0,0,3.92,0,1.96,0,9.8,0,0,0,1.96,0,1.96,1.96,0,13.72,1.96,0,1.96,29.4,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0
