stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,1
 24-34,0,0,0.82,0.82,0,3.28,0,0,0,0,0,8.21,0.82,0,0,0,0,4.1
 36-46,0,0,0,0.81,0,2.42,0,0,0,0.81,0,5.64,0.81,0,0,0,0,3.22
 48-58,0,0.57,0,0.57,0.57,1.15,0,0,0,0,0.57,7.46,0.57,0,0,0,0,4.02
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,10.8,0,0,0,0,0,4.91
 72-82,0,0,0.98,3.93,0,2.94,0,0,1.96,0.98,0,13.74,1.96,0,0,0,0,1.96
 84-94,0,0,0,1.06,0,3.19,0,1.06,0,1.06,0,1.06,2.12,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,1.09,1.09,1.09,1.09,0,0,1.09
108-118,0,0.77,0,0.77,0,0,0,0.77,0,0,0,3.06,0.77,0,0,0.77,0,0.77
120,0,1.96,0,0,0,0,1.96,1.96,0,1.96,0,1.96,0,1.96,0,0,0,1.96
