stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,1,12,0,0
 24-34,0,0,0,0,0,0,2.46,0,1.64,0,0,0,0.82,0,1.64,0,0,20.52,0,1.64,0.82,0,0,9.85,0,0.82
 36-46,0,0,0,0,0,0,2.42,0.81,1.61,0,0,0,0,0,4.03,0,0,49.15,0,0.81,0,0.81,0.81,12.09,0,0
 48-58,0.57,0,0,0,0,0,5.16,0,1.72,0,0.57,0,0.57,0,1.72,0,0.57,28.69,0,0.57,1.15,0,0,4.02,0,0
 60-70,0,0,0,0,0,0,6.87,0,2.94,0.98,0.98,0,0,0,4.91,0,0,27.48,0,0.98,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,0,0,14.72,0,7.85,1.96,1.96,0.98,1.96,0,6.87,0,0,27.49,0,0.98,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,5.31,0,5.31,1.06,7.43,2.12,1.06,0,0,0,1.06,11.68,0,0,0,0,0,1.06,1.06,1.06
 96-106,0,0,0,0,1.09,1.09,9.84,0,4.37,0,7.65,1.09,2.19,0,1.09,1.09,0,7.65,0,1.09,0,0,0,3.28,1.09,0
108-118,0,0,0,0.77,0.77,0,5.36,0,7.66,0.77,9.96,0,0.77,0,0.77,0,0,10.72,0,0,1.53,0,0,2.3,1.53,0
120,0,0,0,0,5.88,0,11.76,0,5.88,3.92,21.56,0,1.96,1.96,0,0,0,17.64,0,0,1.96,0,0,0,1.96,0
