stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,6.29,12.59,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,3,0,0,0,7,2,0,4,0,0,1,0,1,0,3,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,9.03,0,0.82,4.1,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,1.61,0,1.61,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0.57,1.15,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,3.93,0,0,0.98,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,19.63,0,0,1.96,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.18,0,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,2.19,0,0,0,2.19,0,0,0,0,93.98,4.37,2.19,10.93,0,0,3.28,0,0,0,0,0
108-118,0,0,0,0.77,0.77,2.3,0.77,0,0.77,0,0,0,0.77,0,182.3,0.77,1.53,8.43,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96,162.66,1.96,0,13.72,0,0,0,0,0,0,0,0
