stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0
 14-21,0,2,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,5,0,0,0,0,0
 24-34,0,2.46,0,0,1.64,0,0.82,0,0,0,0,0,0,0.82,0,1.64,0,0,3.28,63.21,0,0,0,0,2.46,0,0.82,17.24,0,0,0.82,0,0
 36-46,0,2.42,0,0,8.06,0,0,0.81,3.22,0,0.81,0,0,0,0,5.64,0,0,0.81,112.79,0.81,1.61,0,0,2.42,0,0,20.14,0,0,0.81,0,0.81
 48-58,0,2.3,1.15,0,24.67,0,0.57,0,5.16,0,0,0.57,0,0,0,8.03,0,0.57,1.15,115.33,0,1.72,0,0,4.02,0,0,22.95,0,0,1.15,0,1.15
 60-70,0,0.98,0,0,26.5,0,0,0.98,5.89,1.96,0,0,0.98,0,0,12.76,0,0,0.98,119.75,0,0.98,0.98,0,1.96,0.98,0,5.89,0,0,0,0,2.94
 72-82,0,9.82,0,3.93,35.34,0,0,0,6.87,8.83,0,0.98,0.98,0,0,18.65,0,0,1.96,130.56,0,2.94,0.98,0.98,0,0,0,4.91,0,0,1.96,0.98,0.98
 84-94,0,7.43,4.25,0,20.18,0,0,0,5.31,12.74,0,0,0,0,0,3.19,0,0,0,59.47,1.06,0,0,0,6.37,1.06,0,1.06,1.06,0,0,0,0
 96-106,0,8.74,5.46,1.09,17.49,0,0,1.09,5.46,16.39,0,2.19,0,1.09,1.09,8.74,1.09,0,0,93.98,4.37,4.37,0,0,12.02,0,0,0,0,1.09,0,0,1.09
108-118,0,5.36,0.77,3.83,13.79,0,0.77,0,6.89,15.32,0,0,0,0.77,0,12.26,0,0,0,91.15,1.53,3.06,0.77,0,2.3,0.77,0,1.53,0.77,0,0,0,0
120,0,1.96,3.92,3.92,13.72,1.96,0,1.96,5.88,15.68,0,1.96,1.96,3.92,0,5.88,0,0,0,125.43,7.84,1.96,1.96,0,0,0,0,3.92,0,0,3.92,0,0
