stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.29,3.15,0,0,22.03,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,11,3,0,9,0,2,0,1,0,0,1,0,0,0,0,3,0,0,1,57,1,2,3,0,1,2,1,0,5,20,0,0,0,0,0
 24-34,0,0,0,0,3.28,1.64,0,8.21,0.82,0.82,0,0,0,0,0.82,0,0.82,2.46,0.82,5.75,0,0,1.64,88.65,0.82,4.1,6.57,0,0,0.82,0,0,1.64,28.73,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,16.11,0.81,3.22,0,0,0,0,0.81,0,2.42,0,0,6.45,0,0,3.22,96.68,0,4.03,2.42,0,0,0,0,0,0,20.14,0,0,4.03,0,0
 48-58,0,0,0,0,3.44,0,0,39.02,1.15,6.31,0,0,0,1.15,0,0,0.57,0.57,0,13.77,0,0.57,1.72,85.5,0,2.3,5.16,0,0,0,0,0,0,16.07,0,0,1.15,0,0
 60-70,0,0,0,0,4.91,0,0,40.24,0,4.91,1.96,0,0,0,0,0,0.98,1.96,0,9.82,0,0.98,0.98,67.73,0,2.94,1.96,0,0,0,0.98,0,0,11.78,0,0,0,0,0.98
 72-82,0,0,1.96,0,0.98,0,0,40.25,0,8.83,1.96,0,0.98,3.93,0.98,0,0.98,0,0.98,19.63,1.96,0,1.96,63.81,0,6.87,10.8,0,0,0,0.98,0.98,0,2.94,0,0,4.91,0,0
 84-94,0,0,0,0,9.56,1.06,1.06,33.99,1.06,7.43,7.43,0,1.06,1.06,2.12,0,2.12,2.12,2.12,11.68,0,1.06,2.12,44.61,0,3.19,14.87,0,0,0,4.25,0,0,2.12,0,1.06,2.12,1.06,1.06
 96-106,0,0,2.19,0,7.65,0,0,31.69,0,12.02,5.46,0,2.19,1.09,1.09,1.09,3.28,1.09,0,15.3,3.28,0,5.46,29.51,0,5.46,12.02,0,0,0,1.09,0,0,1.09,1.09,1.09,1.09,0,1.09
108-118,0,0,0.77,0,9.19,0.77,1.53,22.21,0,9.96,3.06,0,0,0.77,2.3,0,4.6,3.06,0,12.26,1.53,0,0.77,45.96,0.77,6.13,13.79,0,0.77,0,3.06,0,0,0.77,1.53,0,0.77,0.77,0
120,0,0,0,0,1.96,0,1.96,13.72,1.96,9.8,1.96,0,0,1.96,0,0,0,1.96,0,9.8,0,0,3.92,33.32,0,5.88,7.84,0,0,0,0,0,0,0,0,0,3.92,0,0
