stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,7.89,0,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,6,11,3,0,0,0,1,1,2,0,0,0,0,0,0,7,0,0,6,35,0,0,0,0,0,0,5,0,4,13,15,0,0
 24-34,0,0,0.82,1.64,1.64,4.1,0,0,0,0,0,4.93,0.82,2.46,0,0.82,0,0,6.57,0,0,2.46,55.82,0,1.64,0,0,0,2.46,0,1.64,0,13.95,74.7,0,0
 36-46,0,0,0,0,0,9.67,0.81,0,0,2.42,0.81,1.61,0,0.81,1.61,0,0,0.81,4.83,0,0.81,3.22,27.39,0,0,1.61,0,0,2.42,0,0.81,0,10.47,74.93,0,0
 48-58,0,0,0,1.15,0,14.35,0,0,0,2.87,0,1.15,0,0,0,0,0,0,3.44,0,0.57,0,16.64,0,0.57,0,0,0.57,0.57,0,0,0,3.44,50.49,0,0.57
 60-70,0,0,0,1.96,0.98,4.91,0,0,0,0.98,0,1.96,0.98,0,0,0,0,0,6.87,0,0,1.96,7.85,0,0.98,0.98,0,0,1.96,0,0.98,0,0.98,52.02,0,0
 72-82,0,0,0,1.96,1.96,3.93,0,0,0,7.85,0.98,2.94,0,0,0,0.98,0,0,11.78,0,0,0.98,10.8,0,1.96,0,0,0.98,0,0,0,0,0.98,107.98,0,1.96
 84-94,0,0,0,1.06,0,5.31,0,0,0,5.31,1.06,2.12,0,0,1.06,0,0,0,4.25,0,1.06,1.06,4.25,0,1.06,2.12,0,0,6.37,0,0,0,0,66.91,0,0
 96-106,0,0,0,5.46,2.19,6.56,1.09,0,0,5.46,0,4.37,0,1.09,0,1.09,0,0,15.3,0,0,4.37,17.49,0,3.28,2.19,0,0,1.09,0,1.09,0,1.09,96.17,1.09,0
108-118,0,0.77,0,1.53,1.53,3.83,0,1.53,0.77,8.43,1.53,3.06,1.53,1.53,0,0.77,1.53,0,14.55,0.77,0.77,2.3,13.02,0,1.53,1.53,0,0.77,5.36,0,0.77,0,0,88.09,0,0
120,0,0,0,0,1.96,0,0,0,0,7.84,0,0,1.96,0,0,0,0,0,3.92,0,0,1.96,9.8,0,0,1.96,0,0,1.96,0,0,0,0,52.91,0,0
