stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,21.03,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,135.32,6.29,0,0,25.18,0,3.15,3.15,3.15,0,0,3.15,0,0
 14-21,0,0,1,1,4,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,3,56,3,0,0,1,0,0,12,0,1,9,14,1,0
 24-34,0,0,0,0,3.28,0,0,10.67,0,0,0,2.46,0,0.82,0,0.82,0,0,0,0,7.39,0,0,2.46,83.73,0,2.46,0,0,9.03,0,0,0,0,2.46,16.42,0.82,0
 36-46,0,0,0,0,0.81,0,0,13.7,0.81,0.81,0.81,4.83,0,0,0,0,0.81,0,0,0,8.86,0,0,2.42,66.87,0,0.81,0,0,7.25,0,0,0.81,0,0.81,11.28,0.81,2.42
 48-58,0,0,0,0,2.3,0,0,11.48,0.57,0,0,5.74,0.57,0,0.57,0.57,0,0,0,0,4.59,0,0.57,0,32.71,0.57,0,0,0,5.16,0,0,0.57,0,0,5.16,0,0.57
 60-70,0,0,0,0,0,0,0,27.48,0,0,1.96,4.91,0,0.98,0.98,0,0.98,0,0.98,0,5.89,0.98,0,2.94,28.46,0,0,0.98,0,8.83,0,0,0,0,0,3.93,0,0
 72-82,0,0,0.98,0,1.96,0.98,0,15.71,0,0,0,9.82,2.94,0,0,0.98,0,0,1.96,0,13.74,0.98,0,0,16.69,0,0,0,0,4.91,0,0,0.98,0,0,0.98,0.98,0
 84-94,0,0,0,0,4.25,0,0,16.99,1.06,1.06,0,7.43,0,0,2.12,1.06,1.06,0,1.06,2.12,7.43,1.06,1.06,0,18.05,0,0,2.12,0,12.74,0,0,1.06,0,0,0,3.19,1.06
 96-106,0,0,0,0,3.28,0,0,17.49,1.09,0,0,5.46,0,0,2.19,0,1.09,1.09,0,0,4.37,0,1.09,2.19,18.58,0,2.19,2.19,0,9.84,0,0,1.09,0,0,1.09,2.19,0
108-118,0,0,0,0,3.83,0.77,6.13,17.62,0,0.77,0,6.13,2.3,0,0.77,2.3,0.77,0,0.77,0,5.36,0,0,3.83,16.85,0,0.77,0,0,10.72,0,0,1.53,0.77,0,0.77,0.77,0.77
120,0,0,0,0,9.8,0,5.88,7.84,0,0,0,7.84,7.84,0,3.92,3.92,1.96,0,1.96,0,0,0,0,1.96,15.68,0,0,0,0,21.56,0,0,0,0,0,0,3.92,0
