stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,0,2.63,0,0,0,36.8,2.63,0,15.77,0,5.26,0,0,0,0,0,0
 10-12,0,0,3.15,0,9.44,0,0,0,0,0,0,59.79,3.15,0,25.18,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,0.57,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
