stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,67.43,6.13,0,6.13,0,0,0,0,0
  7-9,5.26,13.14,42.06,0,0,7.89,0,0,0,2.63,0,0,323.33,23.66,0,431.11,0,0,0,0,0
 10-12,0,0,28.32,0,0,0,0,0,0,0,0,0,132.17,12.59,0,336.73,0,3.15,18.88,12.59,3.15
 14-21,0,0,0,2,1,1,0,0,0,0,0,5,4,2,0,4,0,145,1,112,19
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0,0,0,0.82,0,13.95,1.64
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0.98,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,1.06,0,2.12,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,0,0,0,1.09,0,0,0,0,0,0,0,0
