stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,7.89,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,0,0,0,15.73,0,6.29,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,4,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,78,0,1,0,1,0,4,0,1,1,0,1,53,0,0,0,0
 24-34,0,0.82,2.46,0,4.1,1.64,0,9.85,0,0,0,13.13,0.82,0,1.64,0,0,0,1.64,0.82,0,5.75,0.82,0,2.46,383.34,0.82,2.46,2.46,0,0,7.39,0.82,0,1.64,0.82,0,151.86,0,0.82,0,0
 36-46,0,0,0,0,0.81,0.81,0,16.92,3.22,0,0,12.09,0,0,0,0,0.81,0.81,0,0,0,9.67,0.81,0,2.42,530.13,0,4.03,1.61,0,0,7.25,0,0,0.81,1.61,0,214.31,0,1.61,0,0
 48-58,0,0,0,0,4.02,2.3,0,40.74,1.15,0,1.15,44.76,0,0.57,0,0.57,0,0,0,0,0.57,3.44,1.15,0.57,2.87,570.94,0.57,2.87,4.02,0,0,2.3,0,0,0,1.15,0,171.57,0,0.57,0,0
 60-70,0,0,0,0,0.98,3.93,0,114.84,1.96,0,0.98,66.74,0,0,0,1.96,0,0,0,0,0,11.78,3.93,0.98,0,836.26,0,0.98,1.96,0,0,5.89,0,0,0,0,0,160.97,0,2.94,0,0.98
 72-82,0,0,0,0,3.93,70.68,0,245.42,5.89,0,0.98,111.91,2.94,0,0.98,3.93,0,0,0.98,0,0,31.41,0,1.96,3.93,925.71,0,4.91,12.76,0,0,4.91,0,0,1.96,0.98,0,100.13,0.98,4.91,0,0
 84-94,0,0,0,0,7.43,42.48,0,147.62,2.12,1.06,1.06,69.03,1.06,1.06,3.19,6.37,1.06,1.06,2.12,1.06,2.12,21.24,0,1.06,0,510.84,0,6.37,12.74,0,1.06,8.5,0,0,2.12,0,0,70.09,3.19,3.19,1.06,0
 96-106,0,0,3.28,0,4.37,48.09,2.19,144.26,4.37,1.09,1.09,98.36,2.19,0,1.09,5.46,0,0,2.19,1.09,0,20.76,1.09,4.37,1.09,459,1.09,7.65,20.76,0,1.09,6.56,0,0,0,1.09,0,29.51,0,1.09,1.09,0
108-118,0,0,1.53,0,8.43,26.04,4.6,127.92,4.6,0.77,1.53,79.66,6.13,0,0,8.43,0.77,0,3.83,1.53,0,17.62,1.53,0,3.83,495.58,0.77,6.89,16.09,0,0,4.6,0,0,0.77,6.13,0,28.34,0.77,5.36,2.3,0
120,0,0,3.92,0,11.76,23.52,1.96,133.27,1.96,0,0,80.35,0,0,3.92,7.84,0,0,1.96,0,0,23.52,0,1.96,0,552.66,0,3.92,19.6,0,1.96,5.88,0,0,0,1.96,0,29.4,0,5.88,0,0
