stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,3,0,1,0,0,0,0
 24-34,0,0,0,4.1,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,0,8.21,0.82,3.28,0,0,0,0
 36-46,0,0,0,6.45,0,0,0.81,0,0.81,1.61,2.42,0,0,0,0.81,0,0,0.81,1.61,0,0,0.81,31.42,0,0.81,1.61,14.5,0,2.42,0,0,0,0
 48-58,0,0,0,4.59,0,0,1.72,0,0,0.57,1.15,0,0.57,0,0,0,0,0,2.87,0.57,0,1.15,33.28,0.57,1.15,0,16.64,0,8.03,0,0,0,0
 60-70,0,0,0,3.93,0,0,3.93,0,0,0,7.85,0,0,0,0,0,0,0,2.94,0.98,0,0,67.73,0.98,3.93,1.96,14.72,0,11.78,0,0,0,0
 72-82,0,0,0,5.89,0,0,13.74,0,0,0.98,8.83,0,4.91,0.98,0,0.98,0,0,6.87,2.94,0.98,0,68.72,0,3.93,0,13.74,0,10.8,0.98,0,0,0
 84-94,1.06,0,0,13.81,0,0,4.25,0,1.06,0,7.43,0,2.12,1.06,0,1.06,0,0,5.31,0,0,0,37.17,2.12,1.06,1.06,53.1,0,4.25,0,1.06,0,0
 96-106,0,0,0,12.02,1.09,0,10.93,0,2.19,1.09,8.74,2.19,1.09,2.19,0,1.09,1.09,0,8.74,2.19,2.19,0,44.81,0,5.46,3.28,48.09,1.09,7.65,1.09,1.09,0,1.09
108-118,0,0.77,0,13.79,0.77,0.77,6.13,0.77,4.6,0,3.83,6.13,6.13,3.06,0,0,0.77,1.53,4.6,2.3,0,0,49.02,0,1.53,3.83,45.19,0,3.83,1.53,0,0.77,1.53
120,0,0,0,19.6,1.96,0,1.96,0,1.96,0,1.96,1.96,3.92,0,0,0,0,0,5.88,1.96,0,0,41.16,0,3.92,0,50.95,0,0,0,0,0,0
