stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,2.63,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0,0
 14-21,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,36.12,0,0,2.46,0,0,0.82,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,12.09,0,0.81,4.03,0,0,2.42,0,1.61,0,0,2.42,0,0,0,0,0.81
 48-58,0,13.2,0,0,3.44,0.57,0,2.3,0.57,0,0,0,4.59,0,0,0,0,1.72
 60-70,0,22.58,0,0.98,2.94,0,0.98,4.91,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,19.63,0,2.94,4.91,0,0,9.82,0,0,0.98,0,3.93,0,0,0,0,0
 84-94,0,56.29,0,1.06,8.5,0,1.06,10.62,0,0,0,0,0,0,0,0,0,0
 96-106,0,49.18,0,3.28,6.56,0,2.19,7.65,0,1.09,1.09,0,1.09,0,0,0,0,0
108-118,0,78.89,0,0,11.49,0,0,9.19,0,0,0.77,0,2.3,0.77,0,0.77,0.77,0
120,0,90.15,1.96,0,9.8,0,1.96,17.64,0,0,0,0,3.92,0,0,0,0,0
