stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,361.65,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,18.4,0,0,0,21.03,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,113.03,5.26,0,0,42.06,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,25.18,0,0,0,9.44,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,346.17,6.29,0,0,116.44,0,6.29,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,5,61,23,0,13,0,0,1,2,1,4,0,0,0,0,4,1,41,0,0,33,152,6,0,0,6,0,11,35,2,5,27,49,0,0,8,0,0
 24-34,0,0,1.64,18.88,3.28,0,21.34,3.28,3.28,12.31,0.82,0,2.46,0,0.82,0,0.82,0.82,0,89.47,0,0,45.15,168.28,1.64,0.82,4.93,0,0,6.57,0,0.82,1.64,22.16,51.71,0,0,27.91,0,2.46
 36-46,0,0,0,3.22,0.81,0,8.86,0,2.42,12.09,0.81,0,2.42,0,0,0,0,1.61,0.81,51.56,0,1.61,19.34,65.26,0.81,0,0,0,0.81,3.22,0,0,0,0,19.34,0,0,10.47,0,0
 48-58,0,0,0,3.44,0,0,12.62,0,5.16,22.95,0.57,0,2.3,0,0,0,0,3.44,0,80.91,0.57,2.3,16.07,39.59,0,0,1.15,0,0,2.87,0,0.57,0,0,14.92,0,0.57,8.61,0,0
 60-70,0,0,0,0,0.98,0,3.93,0,0.98,27.48,2.94,0,0,0,0.98,0.98,0,1.96,0,67.73,0,4.91,5.89,7.85,0,0.98,0.98,0,0,0,0,0.98,0.98,0,1.96,0,0,5.89,0,0
 72-82,0,0,0,0.98,0,0,3.93,1.96,2.94,21.6,0.98,0,0.98,0,0,0,0,1.96,0,96.2,0,2.94,11.78,19.63,0,0,2.94,0,0.98,0.98,0,0.98,0,0,4.91,0,2.94,4.91,0,0
 84-94,0,0,0,2.12,1.06,1.06,4.25,2.12,1.06,18.05,6.37,0,1.06,2.12,1.06,1.06,1.06,22.3,0,66.91,0,2.12,5.31,24.43,1.06,0,1.06,0,0,1.06,0,0,0,0,1.06,0,4.25,5.31,1.06,0
 96-106,0,0,0,4.37,0,0,5.46,0,2.19,16.39,0,0,2.19,3.28,2.19,1.09,1.09,28.41,0,42.62,0,3.28,2.19,17.49,0,1.09,1.09,0,0,1.09,0,0,0,0,2.19,1.09,2.19,5.46,6.56,0
108-118,0,0,0,2.3,0.77,0,5.36,0,5.36,16.09,0.77,0,1.53,3.06,0,0.77,0.77,39.06,0.77,42.13,0,0.77,6.13,16.09,0.77,0,2.3,0,0.77,0,0,0,0,0,1.53,0,0.77,6.13,0.77,0
120,0,0,1.96,1.96,3.92,0,1.96,0,1.96,3.92,0,0,0,1.96,0,1.96,0,25.48,0,27.44,0,1.96,7.84,9.8,0,1.96,0,0,5.88,0,0,0,0,0,0,0,1.96,3.92,1.96,1.96
