stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,202.28,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.44,7.89,0,0,52.57,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,3.15,0,34.62,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,157.35,6.29,0,0,53.5,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,34,1,1,0,1,0,1,1,2,0,5,13,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,4.93,0,0,0,1.64,0,0,0.82,0.82,0,0,0.82,0,0,8.21,0,0,4.93,109.99,0,4.93,0,0,0,2.46,0,0,0,2.46,24.63,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,0,18.53,0,0.81,0,3.22,0,0,0,0,0.81,0.81,0,0,0,9.67,0,0,0.81,193.36,0.81,4.83,0,0,0,2.42,0,0,0,0,35.45,0,2.42,0,0
 48-58,0,0,0,0,1.72,0,0,45.33,0.57,0,0,5.16,0,0.57,0,0,0.57,0,0,0,0.57,11.48,0,0,1.72,196.82,0,3.44,1.15,0.57,0,2.3,0,0,0.57,0,39.59,0,0,0,1.72
 60-70,0,0,0,0,2.94,0,0,62.82,0,0,0,12.76,0,0,0,0.98,1.96,0,0.98,0.98,0,14.72,0,0,2.94,271.88,0,3.93,0,0,0,0.98,0,0,0,0,31.41,0,0.98,0.98,0
 72-82,0,0,0,0,1.96,0,0,61.84,0,0,0,5.89,0,0,0,0,0,0.98,0,0,0.98,17.67,0.98,0.98,2.94,225.78,0,7.85,0.98,0,0.98,0.98,0,0,0.98,0,17.67,0.98,2.94,1.96,0.98
 84-94,0,0,1.06,0,6.37,1.06,0,45.67,0,1.06,1.06,14.87,0,0,0,1.06,0,0,0,0,0,12.74,0,2.12,1.06,94.52,0,4.25,1.06,0,0,3.19,0,0,0,0,6.37,1.06,3.19,0,1.06
 96-106,0,0,0,0,2.19,0,1.09,31.69,0,0,0,7.65,0,0,0,1.09,0,0,0,1.09,0,17.49,0,2.19,1.09,92.89,0,7.65,0,0,2.19,2.19,0,0,1.09,0,6.56,0,3.28,1.09,0
108-118,0,0,1.53,0,3.06,0,1.53,22.98,0,0,0.77,8.43,1.53,0,0.77,0,0.77,0.77,0,0.77,0.77,9.19,0,0.77,0.77,99.58,0.77,3.83,0,0,0,3.83,0,0,0,0,3.06,0.77,2.3,0,0
120,0,0,0,0,7.84,0,0,33.32,0,1.96,5.88,9.8,1.96,0,0,0,0,0,0,0,0,9.8,0,0,0,105.83,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96,1.96,0
