stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,ionocyte,liver,melanocytes,mesenchyme,mucous,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,3,0,0,0,0,1,0,0,12,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.93,0,0,0.82,2.46,7.39,0,0,35.3,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,1.61,0,6.45,0,0,26.59,0,0.81,0,0
 48-58,0,0,0.57,0,0.57,0,0.57,0.57,0.57,0,0.57,1.15,0.57,5.16,0.57,0.57,6.89,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,0,0.98,3.93,0,0,1.96,0,3.93,0,0,16.69,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,1.96,0,2.94,0,0,0,0,0.98,0,0,8.83,0,0,0.98,0
 84-94,0,0,1.06,0,3.19,0,1.06,1.06,4.25,0,0,0,0,0,0,0,24.43,0,1.06,0,0
 96-106,0,0,7.65,0,0,0,1.09,0,5.46,0,0,0,0,4.37,0,0,30.6,0,0,0,0
108-118,0,0,5.36,0.77,0.77,0,0,0,3.06,2.3,0,0,0,0,0,0,25.28,0,0,0,0
120,0,0,5.88,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,13.72,0,0,0,1.96
