stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,2.46,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,12.31,0,0,0,0,0,0,9.03,0,0,0,0,0
 36-46,0,0.81,0.81,3.22,0,0,0,1.61,0,0,0,0,0,0,0,0,1.61,6.45,0.81,24.17,0,0,0,0,0,0,14.5,0,0,0,0,0
 48-58,0,1.15,0,21.23,0,0,0,0,0,0,0,0,0,0,0,0,1.15,4.02,0.57,32.71,0,1.72,0,0.57,0,0,22.38,0,1.15,0,0,0
 60-70,0,0.98,0,106.99,0,0,0,0,0,0.98,0,0,0.98,0.98,0,0,2.94,7.85,0,104.04,0,0.98,0,0,0,0,23.56,0,0,0,1.96,0
 72-82,0,1.96,0,259.16,0,0,0.98,7.85,0,0,0,0.98,0.98,0,0,0.98,6.87,13.74,0.98,203.2,0.98,0,0,0.98,0,0,34.36,0,0,0.98,2.94,0
 84-94,0,3.19,0,155.06,1.06,1.06,2.12,7.43,0,0,1.06,1.06,0,0,0,1.06,5.31,18.05,1.06,107.27,0,0,0,0,1.06,0,23.36,0,1.06,1.06,5.31,1.06
 96-106,0,3.28,0,184.69,1.09,1.09,1.09,18.58,0,0,0,0,1.09,0,1.09,0,5.46,10.93,1.09,123.49,0,0,1.09,0,5.46,0,14.21,1.09,1.09,4.37,1.09,0
108-118,0,5.36,0,184.6,0,0,0,7.66,0.77,0,0.77,0,0.77,0,0,0,5.36,7.66,0.77,124.09,0,0,0.77,0.77,0.77,0.77,9.96,0.77,0,0.77,1.53,0
120,0,0,0,141.1,0,0,0,5.88,0,0,0,0,0,0,0,0,3.92,3.92,0,105.83,0,1.96,1.96,0,0,0,7.84,0,0,1.96,0,0
