stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,4,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.53,0,3.28,0,0,0.82,0,22.16,0,0,0,0
 36-46,0,0,0,2.42,0.81,0,0,0,0,0,0,0,0,0,0,0,0,164.36,0,4.03,0,0,0,0,32.23,0,0,0,0
 48-58,0,0.57,0,16.07,0,0,3.44,0,0,0,0,0,0,2.3,0,0,1.72,218.05,0,1.72,0.57,0,1.72,0,39.59,0,0.57,0,0
 60-70,0,0,0,55.95,0,0.98,4.91,0,0,0,0,0,0,2.94,0,0,0,443.65,0.98,0,0,0,0,0,59.87,0,0,0,0
 72-82,0,1.96,1.96,80.5,0.98,0,2.94,0,0,0,0,0,0,6.87,0,0.98,0,475.12,0,4.91,0,0,0,0,33.38,0.98,0,0.98,0.98
 84-94,0,1.06,2.12,53.1,0,0,4.25,0,0,1.06,0,0,1.06,5.31,0,0,0,245.33,1.06,2.12,0,0,0,0,26.55,0,0,0,0
 96-106,0,1.09,3.28,51.36,0,0,7.65,2.19,0,0,0,1.09,0,6.56,0,3.28,2.19,238.24,0,4.37,0,0,1.09,0,14.21,0,0,0,0
108-118,0,3.06,0.77,42.89,0.77,0,6.13,0.77,0,0,0.77,0,0.77,5.36,0.77,0,0.77,203.75,0,5.36,0,0,1.53,0.77,6.13,1.53,0,0,0
120,0,1.96,0,45.08,0,0,11.76,0,0,0,0,0,0,3.92,0,0,0,292.01,0,1.96,0,0,0,0,9.8,3.92,1.96,0,0
