stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,12.59,0,12.59,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,6,0,0,0,0,0,414,1,0,0,2,3,0,0,5,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,43.51,6.57,1.64,0,3.28,17.24,0,0,0.82,0,0,238.05,0,0,0,1.64,3.28,0,0,7.39,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,15.31,5.64,0,0,4.83,19.34,0,0,0,0,0,112.79,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,8.61,0,0.57,2.3,0,0,0,0,0,0,0,4.02,75.74,0,0,0.57,20.08,0,0,0,0,0,62.54,0,0,0,0,2.87,0,0,0.57,0,0
 60-70,0,0,0,0,7.85,0.98,0,24.54,0,0.98,3.93,0,0,0,0,0,0.98,0,7.85,322.92,0,0,2.94,45.15,0,0,2.94,0,0,39.26,0,0,1.96,0,5.89,0,1.96,0,0,1.96
 72-82,0,0,0.98,0,9.82,6.87,0,65.77,0.98,0.98,29.45,0,0.98,0.98,0.98,0,0.98,0.98,4.91,649.86,0,0.98,8.83,121.73,0.98,1.96,6.87,0,0,31.41,0,0,0.98,0,7.85,0,3.93,1.96,0.98,1.96
 84-94,0,0,0,0,19.12,2.12,0,42.48,1.06,0,16.99,0,0,3.19,0,1.06,0,0,4.25,562.88,3.19,2.12,4.25,52.04,0,0,11.68,0,0,84.96,0,1.06,0,0,5.31,1.06,2.12,2.12,0,0
 96-106,0,0,1.09,0,29.51,5.46,0,33.88,2.19,3.28,30.6,3.28,0,0,14.21,4.37,0,0,6.56,359.55,1.09,2.19,4.37,75.41,3.28,4.37,16.39,0,1.09,49.18,0,0,1.09,0,1.09,1.09,2.19,7.65,1.09,0
108-118,0,0,0,0,20.68,4.6,1.53,28.34,0,6.89,16.85,1.53,0,0,3.06,0,0.77,0.77,3.83,309.45,0.77,0.77,3.83,80.43,1.53,4.6,14.55,0,0,34.47,0,0,0,0,3.06,0.77,0,1.53,0,0.77
120,0,0,0,0,27.44,1.96,0,15.68,0,5.88,9.8,5.88,0,0,3.92,1.96,0,0,3.92,448.79,0,0,3.92,70.55,3.92,1.96,5.88,0,1.96,37.24,0,0,0,0,1.96,0,1.96,3.92,0,0
