stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.64,0,0,36.12,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,48.43,0,0.82,0,0.82,0,0,0,0,2.46,0,0,0,0
 36-46,0,0.81,0,0,97.49,0,0,0,2.42,0,0,0.81,0,0,0,0,0,1.61,0,0,23.36,0,0.81,1.61,0,0,0.81,0,0,0.81,0,0.81,0,0.81
 48-58,0,0.57,0,0,566.92,0,0.57,0.57,6.31,0,0,0,0.57,0,1.15,0,0,4.59,0.57,1.72,66.56,0,0.57,0.57,0,0,0.57,0,0,8.61,0,1.72,0,1.72
 60-70,0.98,1.96,0,0,963.85,0.98,0.98,1.96,12.76,0.98,0,0,1.96,0,0,0.98,0,7.85,0,0,39.26,0.98,0.98,0.98,0,0,0,0.98,0,5.89,0,0,0,1.96
 72-82,0,7.85,0,0,874.66,0.98,0,0,14.72,0,0,0,0,0,0,0,0,11.78,0,0,59.88,0,0,0.98,0,0,0,0.98,0,2.94,0.98,1.96,0,0
 84-94,1.06,20.18,2.12,0,536.33,0,1.06,0,19.12,3.19,1.06,0,1.06,0,1.06,0,1.06,7.43,2.12,1.06,38.23,0,1.06,0,0,0,3.19,0,0,3.19,1.06,0,1.06,1.06
 96-106,0,14.21,1.09,0,488.5,0,1.09,0,17.49,0,0,1.09,2.19,0,0,1.09,0,15.3,0,2.19,26.23,0,0,2.19,0,1.09,2.19,0,1.09,2.19,1.09,1.09,0,0
108-118,0,3.83,0.77,0,460.34,0,0,0,15.32,1.53,0,0,0,0.77,0,0,0,8.43,0,0,29.87,0.77,0,0,0,0,0.77,0,0,0,0,0.77,0.77,0
120,0,1.96,0,1.96,315.53,0,0,1.96,19.6,0,0,0,0,0,0,0,0,9.8,0,0,27.44,0,0,0,0,0,7.84,0,0,1.96,0,0,0,0
