stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,10.67,0,11.49,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,4.03,0,16.11,0,0,0,0
 48-58,0,0,0,0,1.15,0,0.57,0,0,0,0,0,0,0,0,6.31,0,0,0,0,0,10.9,0,0,0,0
 60-70,0,0,0,0,26.5,0,8.83,0,0,0,0,0,0,3.93,0,10.8,0,0,0,0,0,8.83,0,0,0,0
 72-82,0,0.98,0,0,213.02,0.98,33.38,0,0,0,0,0,0,21.6,0,24.54,0,0.98,0,0,0,12.76,0,0,0,0
 84-94,0,2.12,1.06,0,250.64,0,21.24,0,1.06,0,0,0,0,27.61,1.06,11.68,0,0,0,0,0,7.43,0,0,0,0
 96-106,1.09,1.09,2.19,0,434.95,1.09,28.41,0,1.09,0,0,0,0,12.02,0,22.95,0,0,0,2.19,1.09,13.11,1.09,0,0,0
108-118,0,0.77,0,0.77,393.7,0,35.23,0,0,0.77,0.77,0.77,0.77,10.72,0.77,18.38,0,0,2.3,0.77,0,13.79,0.77,1.53,0,0.77
120,0,0,0,0,376.28,0,19.6,1.96,0,0,0,0,0,7.84,0,19.6,1.96,1.96,1.96,0,0,7.84,1.96,0,1.96,0
