stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,23.8,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,4.83,44.31,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0.57,0.57,0,0,0,0,22.38,0,0,5.16,39.59,0,0,0,0.57,0,0
 60-70,0,0.98,2.94,0,0,0.98,0,0,0,0,150.17,0,0,3.93,53.98,0,0,0,1.96,0,0
 72-82,0,1.96,2.94,0.98,0,8.83,0,0,0,0,308.24,0.98,0,5.89,39.27,0,0,0.98,0,0,0
 84-94,0,2.12,4.25,0,0,4.25,0,0,1.06,0,276.13,1.06,3.19,3.19,71.16,1.06,0,0,0,0,0
 96-106,0,1.09,3.28,0,0,4.37,0,1.09,0,0,142.07,0,1.09,1.09,39.34,0,0,0,1.09,0,0
108-118,0,1.53,5.36,0,0,11.49,0.77,0,0,0.77,102.64,0.77,0,2.3,52.09,0,0,0,0,0.77,0.77
120,0,1.96,0,0,0,9.8,0,0,0,0,105.83,0,0,3.92,56.83,0,0,1.96,0,0,0
