stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,17,0,0,0,0
 24-34,0,0,1.64,1.64,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0,253.64,0,1.64,0,0,0,5.75,0,121.49,0,0,0,0
 36-46,0,0,0,0.81,0,0,4.83,0,0,0,1.61,0,1.61,0,0,0,0,0,0,2.42,0,0,0.81,664.68,0,2.42,0,0,0.81,3.22,0,186.92,0,0,0,0
 48-58,0,0,0,3.44,1.15,0,39.02,0,0.57,0,2.3,0,0,0,0,0.57,0,0,0.57,8.61,0,0,0.57,954.24,0,1.15,0.57,0.57,0,2.87,0.57,192.22,0,0.57,0,2.3
 60-70,0,0,0,0.98,0,0,75.58,0,1.96,1.96,14.72,0,0.98,0.98,0,0,0,0,0,7.85,0,0,2.94,1688.22,0,3.93,0,0,0,0.98,0,238.51,0,1.96,0,0.98
 72-82,0,0.98,0,9.82,3.93,0.98,158.05,0.98,0,0.98,10.8,0.98,0,0.98,1.96,0,0,0,0,13.74,0,0,0,1753.25,0.98,2.94,1.96,0,0,4.91,0,157.07,0,4.91,0,0
 84-94,0,1.06,0,8.5,3.19,0,107.27,0,1.06,0,22.3,0,1.06,2.12,0,1.06,0,0,0,9.56,0,0,1.06,857.06,0,2.12,2.12,0,0,4.25,0,70.09,0,4.25,0,0
 96-106,0,1.09,0,9.84,5.46,0,102.73,0,2.19,1.09,14.21,1.09,0,1.09,1.09,1.09,1.09,0,0,8.74,1.09,1.09,0,730.02,1.09,4.37,2.19,0,0,3.28,0,41.53,1.09,3.28,2.19,1.09
108-118,0,0,0,10.72,0.77,0,57.45,0,0.77,1.53,12.26,0.77,0,0,0,0,0,0.77,0,13.02,0.77,0.77,1.53,765.2,0.77,0,1.53,0,0,1.53,0,29.87,0.77,3.06,0.77,0
120,0,0,0,13.72,1.96,1.96,82.31,0,1.96,0,17.64,0,0,3.92,0,0,0,0,0,23.52,0,1.96,7.84,1324.82,1.96,0,3.92,0,0,3.92,1.96,78.39,1.96,1.96,1.96,0
