stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,9,2,0,5,0,0,4,0,2,0,1,3,0,1,0,1,2,0,0,1,134,2,6,12,0,0,6,0,5,0,50,0,0,1,0,0
 24-34,0,3.28,4.1,3.28,0,0,25.45,1.64,0.82,9.03,0,2.46,1.64,0,8.21,0,0.82,0.82,0.82,4.93,0.82,0,6.57,518.78,0.82,46.79,9.85,0,0,6.57,0,4.93,0.82,82.09,0,0,4.1,0,0
 36-46,0,0.81,0,6.45,0,0,20.95,0.81,0,13.7,0,4.83,0.81,0,1.61,0,3.22,0,0,12.09,0.81,0.81,1.61,745.24,0,40.28,5.64,0,0,5.64,0.81,3.22,0,129.71,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,52.79,0.57,0,28.12,0.57,28.69,0.57,1.15,0,0,2.87,1.72,0.57,10.33,2.87,0.57,1.15,623.73,0,24.1,2.3,0,0,4.02,0,0.57,0,153.21,0,0,0.57,0,0
 60-70,0,0.98,0,5.89,0.98,0,71.65,0,0,45.15,0.98,14.72,0,1.96,3.93,0.98,0.98,0.98,0,24.54,0.98,0,0.98,883.37,0,19.63,3.93,0,0,9.82,0,0.98,0,152.14,2.94,0,0,0,0
 72-82,0,2.94,0,18.65,4.91,0,109.95,3.93,1.96,81.48,1.96,7.85,0,1.96,0.98,0.98,7.85,2.94,0.98,76.57,1.96,0,3.93,905.09,0,39.27,13.74,0,0.98,6.87,0,2.94,0,137.43,10.8,0,5.89,1.96,3.93
 84-94,0,1.06,1.06,24.43,1.06,0,112.58,3.19,0,59.47,1.06,13.81,2.12,4.25,2.12,0,6.37,1.06,0,54.16,4.25,3.19,3.19,483.23,0,52.04,11.68,0,0,30.8,0,0,0,65.85,20.18,0,2.12,2.12,0
 96-106,0,2.19,0,40.44,5.46,2.19,67.76,2.19,1.09,57.92,5.46,1.09,0,5.46,1.09,1.09,14.21,1.09,0,56.83,3.28,3.28,1.09,459,1.09,63.39,17.49,0,0,42.62,0,3.28,0,43.71,28.41,1.09,1.09,0,0
108-118,0,0.77,0,37.53,0,0,49.02,5.36,0.77,47.49,8.43,0,1.53,2.3,3.83,0.77,10.72,3.83,0,55.92,1.53,1.53,3.06,644.17,0,46.72,21.45,0,0,22.21,0,1.53,0,29.87,34.47,1.53,1.53,1.53,0
120,0,0,1.96,33.32,0,0,43.12,0,0,23.52,3.92,0,0,3.92,3.92,3.92,5.88,3.92,0,33.32,0,1.96,9.8,486.03,0,23.52,15.68,0,0,19.6,0,0,0,29.4,9.8,0,1.96,0,0
