stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,21,86,1,0,1,2,0,3,1,0,5,9,0,0,0,0,0
 24-34,0,0,0.82,9.03,0,0,9.03,0,1.64,0.82,0,0,0,0.82,0,0.82,0,0.82,0,0,10.67,0,0,4.1,123.95,286.48,0,3.28,0,5.75,0,0,0.82,0,3.28,22.16,0,0,3.28,0,0
 36-46,0,0,0,1.61,0,0,14.5,0.81,0,0.81,5.64,0,0,0,0,0,0,0,0,0.81,11.28,0,0,2.42,96.68,289.24,0,1.61,0,3.22,0,0,0,0,0,24.98,0,0,0.81,0,0
 48-58,0.57,0,0,1.72,0,0,23.53,0.57,1.72,0.57,3.44,0,0,0.57,0.57,0,0,0,0.57,0,69.43,0,0.57,2.3,65.41,204.85,0,0,0,2.87,0,0,0,0.57,0,14.35,0,0,1.72,0,0.57
 60-70,1.96,0,0,4.91,0.98,0,28.46,0.98,0,0.98,3.93,0,0,0,0,0,0,0,0.98,0,278.75,0.98,0,1.96,50.06,135.45,0.98,0,0,2.94,0,0,0,0,0,3.93,0,0,0.98,0,0
 72-82,0,0,0,11.78,4.91,0,43.19,0.98,0,0.98,12.76,0,0.98,0,0.98,0,3.93,0,0,0,596.85,0.98,0.98,2.94,70.68,100.13,0.98,0.98,0,2.94,0,0,0,0.98,0,6.87,0.98,0.98,1.96,0.98,0.98
 84-94,1.06,0,0,11.68,4.25,0,33.99,0,0,0,4.25,2.12,1.06,1.06,2.12,2.12,1.06,0,0,0,536.33,1.06,1.06,2.12,31.86,150.81,1.06,0,0,4.25,0,0,2.12,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,0,1.09,13.11,4.37,2.19,22.95,3.28,0,0,7.65,1.09,0,1.09,3.28,3.28,0,2.19,0,1.09,338.78,0,0,3.28,25.14,114.75,2.19,2.19,0,18.58,0,0,1.09,0,0,0,1.09,1.09,4.37,2.19,2.19
108-118,1.53,0,0,15.32,1.53,0,19.15,0,0.77,0,6.89,3.83,0,0,5.36,0.77,0.77,0.77,3.06,1.53,266.56,0.77,0.77,1.53,36.77,118.72,0.77,0,0,7.66,0,0,1.53,0,0,0.77,0.77,0,3.83,2.3,0.77
120,3.92,0,0,21.56,1.96,0,15.68,0,1.96,0,5.88,7.84,0,0,3.92,0,0,1.96,5.88,0,307.69,0,0,1.96,50.95,143.06,1.96,0,0,7.84,0,0,0,0,0,1.96,0,1.96,1.96,0,0
