stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0.82,0,1.64,0,0.82,6.57,0,0,0,0,4.1,0.82
 36-46,0,0,0.81,0,2.42,0,0,0,0,0,0,1.61,0,0,5.64,0,0,1.61,0,1.61,0.81
 48-58,0,0,0.57,0,1.72,0.57,0.57,0,0.57,0,0.57,1.72,0.57,0,6.31,0,0,1.15,0,0.57,0.57
 60-70,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,1.96,7.85,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,1.96,1.96,0,0.98,0,0,0,3.93,0,1.96,5.89,0.98,0,0,0,0,0
 84-94,0,1.06,0,0,3.19,1.06,0,0,2.12,0,0,4.25,0,0,5.31,0,1.06,1.06,0,1.06,1.06
 96-106,0,0,0,2.19,1.09,0,0,0,0,0,0,3.28,0,0,3.28,0,1.09,0,0,0,0
108-118,0.77,0,0.77,0.77,0,0.77,0,0,0,0,0,3.06,0,0.77,6.89,0,0,1.53,0,0,0
120,0,0,0,3.92,1.96,1.96,0,0,1.96,0,0,7.84,0,0,7.84,0,0,3.92,0,0,0
