stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,xanthophores
  3-4,329.45,6865.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0
  5-6,373.91,11707.6,0,42.91,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,649.74,0,0,208.41,104.2,0,0,0,0,0,0,0,0
  7-9,5.26,191.9,0,509.97,0,0,28.92,0,0,0,0,0,18.4,0,0,0,0,0,0,0,5012.96,26.29,0,4416.24,7.89,10.51,0,7.89,0,0,0,0,0
 10-12,0,62.94,0,261.2,0,0,12.59,0,0,0,0,0,12.59,0,0,0,0,0,0,0,962.97,6.29,0,2058.12,0,3.15,0,113.29,0,0,0,0,0
 14-21,0,0,0,0,31,3,0,0,8,0,1,3,0,0,1,0,0,0,8,3,21,14,2,307,0,0,138,0,0,32,132,0,0
 24-34,0,0,0,0,1.64,1.64,1.64,0,19.7,20.52,2.46,0.82,0,0,0.82,0,0,0,1.64,6.57,9.03,9.03,0,0,0,0,0,0.82,2.46,66.49,69.77,0,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,24.98,0.81,0,0,0.81,0,0,0,0,0,12.89,4.83,0,0,0,0,0,0,0,7.25,0,37.06,0,0
 48-58,0,0,0,0,0,0,0.57,0,1.72,27.54,0.57,0,0,0,0,0,0,0,6.31,6.31,4.59,0,0,0,0,0,0,0,3.44,0,24.67,0,0
 60-70,0,0,0,0,0,0,0.98,0.98,1.96,16.69,1.96,3.93,0,0,0,0,0,0,5.89,0.98,2.94,0,0,0,0,0,0,0,0.98,0,15.7,0,0
 72-82,0,0,0,0,0,0,2.94,0.98,0,23.56,2.94,5.89,0,0.98,0,0,0,0,0.98,5.89,3.93,0,0,0,0.98,0,0,0,0.98,0,21.6,0,0
 84-94,0,0,0,0,0,0,2.12,0,0,16.99,2.12,22.3,0,0,5.31,1.06,1.06,0,5.31,0,3.19,0,0,0,1.06,0,0,0,0,0,29.74,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,17.49,2.19,25.14,0,0,2.19,0,0,1.09,3.28,1.09,4.37,0,0,0,1.09,0,0,0,0,0,17.49,0,0
108-118,0,0,0.77,0,0,0,0.77,0.77,0,16.09,0.77,38.3,0,0,2.3,0,0,0,6.89,1.53,2.3,0,0,0,0,0,0,0,1.53,0,15.32,0,0
120,0,0,0,0,0,0,1.96,0,0,15.68,1.96,19.6,0,0,0,0,1.96,0,3.92,3.92,0,0,0,0,0,0,0,0,0,0,11.76,1.96,1.96
