stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,4,6,80,0,0,0,3,3,0,3,0,0,0,0,0
 24-34,0,0,2.46,183.87,0,0,7.39,0,1.64,0,1.64,3.28,0,9.03,0,0,0,0,1.64,0,30.37,0.82,0.82,13.13,45.97,252,0,0,0,4.93,1.64,0,4.93,0,0,4.93,0,0
 36-46,0,0,0.81,185.3,0,0,16.11,0.81,4.83,0.81,1.61,3.22,0,8.86,0,0,0,0,0,0,33.84,0.81,3.22,7.25,49.15,263.45,0.81,0,1.61,3.22,3.22,0,12.09,0,0,0.81,0,0
 48-58,1.15,0,0.57,100.99,0,0,33.28,0,6.31,0,4.02,0,0,2.87,0.57,0,0,0,1.15,1.72,74.59,0.57,0.57,3.44,57.38,226.65,0.57,2.3,0,2.3,0,0,18.36,0,0,0.57,0,0.57
 60-70,2.94,0.98,0,84.41,1.96,0,34.35,0,3.93,1.96,3.93,0,0,0,0.98,0,1.96,0.98,2.94,0.98,466.22,0,0,1.96,62.82,161.95,0,15.7,0,4.91,0.98,0,1.96,0.98,0.98,1.96,0,0
 72-82,0,0.98,0,51.05,1.96,0.98,79.51,0,1.96,1.96,4.91,2.94,0.98,0.98,3.93,0.98,2.94,0,4.91,0,983.63,1.96,0.98,9.82,77.55,112.89,0.98,36.32,0,3.93,0.98,0,5.89,0,2.94,0.98,0.98,5.89
 84-94,1.06,0,0,73.28,1.06,0,58.41,1.06,2.12,1.06,6.37,0,0,0,3.19,0,0,0,6.37,1.06,868.75,3.19,4.25,1.06,41.42,174.17,2.12,31.86,0,4.25,0,1.06,3.19,0,3.19,3.19,1.06,0
 96-106,2.19,1.09,0,75.41,3.28,1.09,44.81,1.09,2.19,0,9.84,3.28,0,2.19,6.56,1.09,1.09,0,7.65,0,708.16,2.19,2.19,8.74,46.99,135.51,1.09,63.39,1.09,12.02,0,1.09,1.09,0,3.28,2.19,2.19,3.28
108-118,3.83,0,0,55.15,1.53,2.3,29.87,0.77,9.19,1.53,10.72,4.6,0,1.53,2.3,1.53,0.77,0,3.83,0,612,0,1.53,0.77,57.45,163.15,2.3,50.55,0,4.6,0,0.77,3.06,0,2.3,0.77,0.77,1.53
120,5.88,0,0,66.63,3.92,3.92,37.24,0,7.84,0,15.68,5.88,1.96,1.96,1.96,1.96,0,0,7.84,0,776.08,0,1.96,5.88,47.03,293.97,0,48.99,0,3.92,0,0,1.96,0,1.96,1.96,1.96,0
