stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,49.04,0,0,0,0,0,0,0
  7-9,0,2.63,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,13.14,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,2.46,0,0,0.82,0.82,0,0,0.82,0,0.82,0.82,0,1.64,0.82,0,23.8,0,0,0,0,1.64,0,0,1.64,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,7.25,0,0,0,0,2.42,0.81,0,4.03,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,1.72,0,0,0,0,0,0,0,0,0.57,0,0,2.87,0.57,0,4.59,0,0.57,0,0,2.3,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0.98,0.98,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,2.94,0,0,0.98,0,0,2.94,0,0,1.96,0,0,3.93,0,0.98,1.96,0,0,0,0,4.91,0,0,0,0,0.98,0,2.94
 84-94,0,0,1.06,0,4.25,2.12,0,1.06,1.06,0,0,1.06,0,6.37,0,0,0,0,1.06,1.06,1.06,1.06,0,0,0,1.06,0,9.56,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,1.09,4.37,0,4.37,0,0,0,0,0,8.74,0,1.09,6.56,0,0,0,0,13.11,0,0,0,0,2.19,0,0
108-118,0,0,0,0,1.53,3.06,0.77,0,1.53,1.53,1.53,2.3,0,3.06,0,0.77,0,0.77,0,0,0.77,1.53,0.77,0,0.77,0.77,0,9.96,0,0,0,0.77,3.83,0,0
120,0,0,0,0,3.92,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,1.96,0,1.96,0,0,3.92,0,0,0,0,25.48,0,0,0,0,3.92,0,0
