stage,axial,blastomeres,epidermis,eye,glial,heart,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,1,1
 24-34,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,1.64
 36-46,0,0,0,0.81,0,0,0,0,1.61,0.81,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,1.15,0.57,0,1.15,2.87,0,0,0,0,0,0,0,0.57
 60-70,0,0,0.98,3.93,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.19,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,4.37,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0,0,0,0
