stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,47.61,0,0,0,0,0,0,0,6.57,0.82,0,0,17.24,0,0,0.82,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,41.09,0,0,0,0,0,0,0,4.03,0,0,0,16.11,0,0.81,0,0,0,0,0,0,0.81,0,0,1.61,0,2.42
 48-58,0,0,0,0,0,60.25,0,1.15,0,0.57,0,0,0,6.89,1.15,0,0,13.77,0,0,0,0,0.57,0,0,0,4.02,0,0,0,0,0.57
 60-70,0,0,0.98,0,0,199.25,0,0.98,0,0,0,0,0,0,1.96,0,0.98,10.8,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,2.94,0,0,507.52,0,15.71,0.98,0,0,0,0,4.91,9.82,0,0,45.16,0,1.96,0,0,1.96,0,0.98,0,0.98,0,0,0.98,0,0.98
 84-94,0,0,3.19,0,0,425.88,2.12,12.74,0,1.06,1.06,2.12,0,0,4.25,0,1.06,28.68,0,0,0,0,6.37,0,1.06,0,3.19,0,0,2.12,1.06,0
 96-106,0,0,3.28,3.28,1.09,436.05,0,16.39,0,2.19,1.09,0,1.09,1.09,12.02,1.09,1.09,41.53,0,2.19,0,0,3.28,0,0,0,1.09,1.09,1.09,0,0,0
108-118,0,0,5.36,1.53,0.77,380.68,0,17.62,0.77,0.77,0.77,0,0,0,6.13,1.53,1.53,13.79,0,3.06,0,0,0.77,0,0.77,0,0.77,0.77,0,0,0.77,0
120,0,0,5.88,3.92,0,207.74,0,1.96,0,0,0,0,0,0,9.8,0,3.92,15.68,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0
