stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,11.49,0,0,0,0,0,0,4.93,0,4.1,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,4.03,0,0,0,77.34,0,0,0.81,0,0,0,11.28,0,2.42,0,0
 48-58,0,0,0,0,0,4.02,0,1.15,0,0.57,0,8.03,0,0,0,140.01,0,0.57,0,0,0,0,19.51,0,2.3,0,0
 60-70,0,0,0,0.98,0,19.63,0,10.8,0,0,0,13.74,0,0,0,287.59,0,0.98,0,0,0,0,28.46,0,0,0,0
 72-82,0,0,0,2.94,0.98,34.36,0,9.82,0,0,0,24.54,0,0,1.96,338.67,0,0,0.98,0,0,0,24.54,0.98,0.98,0.98,0
 84-94,0,0,1.06,4.25,0,30.8,0,3.19,1.06,0,0,14.87,0,1.06,2.12,149.75,0,0,0,0,1.06,0,19.12,0,0,1.06,1.06
 96-106,0,0,0,3.28,2.19,34.97,1.09,7.65,0,1.09,1.09,15.3,0,0,0,143.16,0,0,1.09,0,2.19,3.28,5.46,0,0,0,0
108-118,0,0,0,0.77,0,26.81,0,9.96,0,0.77,0,22.21,0,0,2.3,133.28,0.77,0,0,0,0,0,6.13,2.3,0,0,0
120,0,0,0,3.92,0,15.68,0,9.8,0,0,0,3.92,1.96,0,5.88,172.46,0,0,1.96,0,0,0,9.8,0,0,0,0
