stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,10.51,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,22.03,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0.82,14.78,0.82,0.82,0,0.82,0,0,0.82,3.28,0,0,0
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0,0,15.31,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0.57,0,6.31,2.3,0,0,0.57,1.15,0,13.2,0,0.57,0,0.57,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,3.93,0.98,0,0,0,1.96,0.98,10.8,0,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,4.91,0.98,0,0,0,0.98,1.96,5.89,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,1.06,0,2.12,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,1.09,0,3.28,1.09,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0,0,0,1.53,0,2.3,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,5.88,0,0,0,1.96,0,0,0,0,0,1.96,0
