stage,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,9,1,1,1,1,0,1,1,4,1,6,0,1,0,0
 24-34,0,2.46,24.63,0,5.75,0,0,0,2.46,1.64,0,0.82,0,0,1.64,0,18.88,0.82,0.82,4.93,18.88,1.64,0,0,0,0,2.46,0,0,0,5.75,0,0.82,0,0
 36-46,0,0,9.67,0,0.81,0,0,1.61,2.42,0.81,0,0.81,0,0,1.61,0.81,18.53,0.81,0.81,2.42,33.84,0,0,0,0,0.81,4.83,0,0,0,6.45,0,0,0,0
 48-58,0,1.15,9.18,0,5.74,0,0,0.57,5.16,0,0.57,0.57,0,1.15,1.72,0.57,20.66,0,3.44,2.3,28.69,0,0,1.15,0,0.57,0.57,0,0,0,3.44,0,2.3,0.57,0.57
 60-70,0.98,0,0.98,0,2.94,0,0,3.93,1.96,0.98,0.98,0,0,0,0,0,8.83,0,1.96,0.98,26.5,0,0,0,0,0,1.96,0,0,0,4.91,0,0,0,0
 72-82,0,0.98,1.96,0,8.83,0,0,5.89,0.98,0,0,0,0,0,0,0,10.8,0,0.98,0.98,25.52,0,0,0,0,0,0,0,0,0,1.96,0,2.94,0.98,0
 84-94,0,0,5.31,1.06,7.43,1.06,1.06,1.06,1.06,0,0,0,0,1.06,0,0,6.37,0,1.06,0,20.18,0,0,0,0,0,3.19,0,0,1.06,1.06,0,0,0,0
 96-106,1.09,0,3.28,3.28,6.56,0,0,1.09,5.46,0,1.09,1.09,0,0,0,0,10.93,0,1.09,1.09,7.65,0,0,0,0,0,1.09,0,0,0,2.19,0,1.09,0,0
108-118,0,0,2.3,0,4.6,0,0,3.06,1.53,0,0.77,0,0.77,0,0,0,2.3,0.77,0,0,14.55,0,0,0,0,0,3.06,0,0,0,0.77,0.77,0.77,2.3,0.77
120,0,0,3.92,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,5.88,0,0,0,9.8,0,0,0,0,0,3.92,0,0,0,3.92,0,0,0,0
