stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,14.78,0.82,0,0,0.82,0,0.82,4.93,1.64,0.82
 36-46,0,0,0,0,0,0.81,0,0,1.61,0,0.81,0,0,0.81,1.61,0,0,0,14.5,0,0.81,0,0.81,0,0,3.22,0,0.81
 48-58,0,0,0,0,0,2.87,0.57,0.57,2.3,0,0,0,0,0,0.57,0.57,0,0.57,14.92,0,0.57,0,0.57,0,1.15,4.02,0,1.15
 60-70,0,0,0,0.98,0.98,17.67,0,0,1.96,0,0,0,0,0,1.96,0,0,0,19.63,0.98,0,0.98,1.96,0,0.98,2.94,0,0
 72-82,0,0,0,0,1.96,24.54,0,0,1.96,0.98,0,0,0,0,0.98,0,0,0,21.6,0,0,0,0.98,0,0,2.94,0.98,0
 84-94,0,0,0,1.06,2.12,11.68,0,0,0,1.06,1.06,1.06,1.06,0,5.31,0,0,0,6.37,0,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,1.09,0,1.09,1.09,9.84,0,0,3.28,0,0,1.09,0,0,1.09,0,0,0,10.93,0,1.09,0,2.19,0,0,0,0,0
108-118,0,0,0,1.53,0,7.66,0,0,3.06,0.77,1.53,0.77,0,0,3.06,0,0,0,9.96,0.77,0,0.77,1.53,0,0,0,0.77,0
120,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,3.92,0,1.96,1.96,15.68,0,1.96,0,3.92,0,0,0,0,0
