stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0
 24-34,0.82,0,0,1.64,0,0,0,0,0,0,1.64,0.82,8.21,0,0,0,5.75,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,1.61,0,27.39,0,0,0,2.42,0,0
 48-58,1.15,0,0,2.3,0,1.15,0,0,0,0,0.57,0,39.59,0,0,0,5.16,0,0
 60-70,0,0,0,2.94,0,0,0,0,0,0,1.96,0,73.61,0.98,0,0,7.85,0,0
 72-82,0.98,0,0,7.85,0,3.93,0,0,0,0,5.89,0,119.76,0,0,0,20.61,1.96,0.98
 84-94,2.12,0,0,5.31,1.06,0,0,0,0,1.06,2.12,0,72.22,0,0,0,7.43,0,0
 96-106,1.09,0,0,2.19,0,1.09,2.19,1.09,1.09,0,2.19,1.09,60.11,0,0,1.09,6.56,0,0
108-118,2.3,0,0.77,8.43,0.77,3.06,0,0.77,0,0,1.53,0,86.55,0.77,0,0.77,3.83,0,0
120,1.96,3.92,0,7.84,0,7.84,0,0,0,0,0,0,105.83,0,3.92,0,5.88,0,0
