stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,2.63,0,0,23.66,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,170.87,0,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,9.44,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.48,6.29,0,0,81.82,3.15,0,0,6.29,0,6.29,12.59,0,0,0,0
 14-21,0,0,1,5,16,1,77,0,49,1,1,1,0,3,0,1,0,7,1,0,3,1239,2,0,12,7,0,1,1,15,1,11,579,0,1,0,0
 24-34,0,0,2.46,3.28,5.75,0.82,190.44,0,83.73,0,0,0,0.82,5.75,0,4.93,1.64,9.85,0.82,0,7.39,1452.09,0,5.75,16.42,0,0.82,0,0.82,0.82,0,0.82,555.72,0,0,0,0
 36-46,0,0,0,0,3.22,0,118.43,0,102.32,0.81,0,0,0.81,0.81,0,4.03,0,6.45,0,0,4.03,877.37,0,6.45,8.06,0,3.22,0,0,4.03,0,0,369,0,0.81,0,0.81
 48-58,0,0,0,0,2.3,0,100.42,0,118.2,0.57,0,0.57,0,1.72,1.15,1.72,0.57,3.44,0,0,0.57,292.64,0,4.59,9.18,0,0.57,0,0,0.57,0,0,138.29,0,0,0,0
 60-70,0,0,0.98,0,0,0,92.26,0,92.26,0.98,0,0,0.98,0,0,2.94,0,5.89,1.96,0.98,0,151.15,0,4.91,7.85,0,0,0,0,0.98,0,0,36.32,0,0.98,0.98,0
 72-82,0,0,8.83,0,3.93,0,70.68,0.98,93.26,3.93,0,0,0.98,2.94,0,6.87,0,22.58,0,0,2.94,111.91,0,7.85,20.61,0,0.98,0,0,0,0,0,10.8,0,1.96,0.98,0
 84-94,0,0,4.25,0,3.19,0,64.78,0,58.41,7.43,0,0,6.37,1.06,0,8.5,0,25.49,0,2.12,2.12,75.4,0,9.56,18.05,0,0,0,0,2.12,0,0,10.62,0,1.06,0,0
 96-106,1.09,0,7.65,0,2.19,0,34.97,0,46.99,6.56,0,0,0,1.09,0,10.93,1.09,19.67,0,2.19,0,54.64,0,13.11,15.3,0,3.28,0,0,1.09,0,0,5.46,1.09,1.09,2.19,0
108-118,0,0,6.13,0,3.83,0.77,45.19,0,45.19,4.6,0,0,8.43,0.77,0,7.66,0,36.77,0,1.53,0,88.85,0,6.13,11.49,0,0.77,0,0,3.06,0,0,3.06,0,1.53,0.77,0
120,0,0,3.92,0,1.96,0,27.44,0,39.2,0,0,0,0,1.96,0,5.88,0,25.48,0,0,0,96.03,0,3.92,13.72,0,0,1.96,0,0,0,0,0,0,0,0,0
