stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,31,0,0,0,32,0,6,0,0,0,0,0,0,0,2,0,0,0,32,0,0,5,0,0,0,31,1,1,67,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,0,410.43,0,0,0,43.51,0,0.82,0.82,0,0,0,0,0,1.64,3.28,0,0,3.28,132.16,1.64,9.85,0,0,0,1.64,19.7,0,0.82,66.49,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,680.79,0,0,0.81,22.56,0,0,0,0,0,0,0.81,0,0,2.42,0,0,0,126.49,1.61,14.5,0.81,0,0,1.61,4.83,0,0,61.23,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,826.85,0,1.72,0.57,33.85,0,0,0,0.57,0,0.57,0,0,0,4.02,0,0.57,1.72,99.84,0,18.94,0,0,0,1.72,2.87,0,0,46.48,0,0,0,0,0.57
 60-70,0.98,0,0,0,3.93,0,0,1580.25,0,0.98,0,99.13,0.98,0,0,0.98,1.96,0,0,0.98,0,12.76,0,0,1.96,133.49,0,25.52,0,0,0,2.94,1.96,0,0,43.19,0,0,0,0,1.96
 72-82,0,0,0,0.98,14.72,1.96,0,1703.18,0.98,0,0,160.01,0,0.98,0,0.98,0,0,0,0.98,0.98,29.45,0.98,0.98,4.91,244.43,0,51.05,1.96,0,0.98,0.98,2.94,0,0,39.27,0.98,0,1.96,1.96,2.94
 84-94,0,0,0,0,23.36,4.25,0,1577.13,1.06,3.19,2.12,118.95,1.06,0,0,2.12,0,2.12,1.06,0,2.12,21.24,1.06,4.25,4.25,147.62,2.12,46.73,1.06,0,0,2.12,4.25,0,0,32.92,2.12,2.12,1.06,2.12,0
 96-106,0,0,0,0,13.11,3.28,0,1202.13,2.19,1.09,0,170.48,2.19,0,0,5.46,1.09,2.19,1.09,1.09,0,15.3,0,0,1.09,190.16,0,83.06,1.09,0,0,4.37,4.37,1.09,0,18.58,0,0,3.28,0,1.09
108-118,0,0,0,0,10.72,2.3,0.77,808.86,0.77,1.53,0,138.64,0,0,0,1.53,1.53,0,0,0.77,0,9.19,0.77,0.77,0.77,224.43,0,57.45,2.3,0,0,3.83,6.13,0,0,16.85,0,0.77,2.3,0,0
120,0,0,3.92,0,11.76,1.96,1.96,764.32,0,5.88,1.96,111.71,0,0,0,5.88,0,1.96,0,5.88,0,17.64,0,0,1.96,272.41,1.96,50.95,1.96,0,0,0,3.92,0,0,11.76,0,1.96,3.92,0,0
