stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,34.17,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,2,4,0,0,0,1,0,0,0,0,0,3,0,0,1,31,0,1,2,1,0,2,4,0,0,5,13,0,0
 24-34,0,0,1.64,0,4.1,2.46,0.82,0.82,0,0,0,0,0,0,6.57,0,0,1.64,97.68,0,0.82,0,0,0,2.46,0,0,0,0,14.78,0.82,0.82
 36-46,0,0,0.81,0,22.56,0,0,1.61,0,0,0,0,0,0,4.03,0,0,2.42,63.65,0,0.81,1.61,0,0,0.81,0,0,0,0,19.34,0.81,0.81
 48-58,0,0,1.15,0,28.69,0,0,4.02,0,0,0,0,0,0,4.59,0.57,0.57,2.87,43.61,0,1.15,0.57,0,0,0.57,0,0,0,0,11.48,0,0
 60-70,0,0,0,0,30.43,0,0,2.94,0.98,0,0,0,0,0,6.87,0,0.98,0,55.95,0,1.96,0,0,0,3.93,0,0,0,0,5.89,0,0
 72-82,0,0,0.98,3.93,19.63,0,0.98,8.83,0,0,0,0,0,0,7.85,0,0.98,0.98,28.47,0,0,0,0,0.98,0,0,0,0,0,1.96,1.96,0
 84-94,0,0,3.19,1.06,18.05,0,0,2.12,0,1.06,0,0,0,0,4.25,0,0,0,22.3,0,0,0,0,0,1.06,0,1.06,0,0,1.06,3.19,0
 96-106,0,0,3.28,1.09,9.84,0,0,3.28,1.09,0,0,0,1.09,2.19,5.46,0,1.09,2.19,17.49,0,1.09,2.19,0,0,8.74,0,0,0,0,0,1.09,0
108-118,0,0,2.3,0,13.79,0,0,2.3,0,0,1.53,0,0,0,9.19,0.77,0,0,16.09,0,1.53,0,0,0,3.06,0,0,0,0,0,0,1.53
120,0,0,5.88,0,11.76,0,0,3.92,1.96,0,0,1.96,0,0,7.84,0,0,1.96,23.52,0,0,0,0,0,3.92,0,0,1.96,0,0,1.96,0
