stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,17,0,0,5,0,0,1,0,0,0,6,0,1,0,0,2,0,0,4,42,1,4,5,5,1,2,1,2,11,0,0,0
 24-34,0.82,2.46,11.49,0.82,0,8.21,0.82,0,0.82,0,0,0,2.46,0,0.82,0,0,9.03,0.82,0,1.64,84.55,1.64,5.75,4.1,33.66,0,0,1.64,1.64,21.34,0,0.82,0
 36-46,0,0.81,4.03,0,0,12.09,0,1.61,2.42,0,0,0,0,0,1.61,0,0,7.25,1.61,0,2.42,83.79,2.42,15.31,2.42,23.36,0,0,0.81,0,15.31,0,0.81,0.81
 48-58,0,0,1.72,0,0,19.51,0.57,0,5.74,0,0.57,0,1.15,0.57,2.3,1.72,0.57,6.89,1.15,0,1.15,107.88,1.72,4.02,4.02,18.36,0,0,1.72,0,20.66,0,1.15,0.57
 60-70,0,0,5.89,0,0,26.5,0,0,3.93,0,0,0,1.96,0,1.96,0,0,9.82,0.98,0.98,0,101.1,0,9.82,0,3.93,0,0,0.98,0,9.82,0.98,0,0
 72-82,0,0,5.89,0.98,0,28.47,0.98,0,10.8,3.93,0.98,0,2.94,0,1.96,0,0,31.41,0.98,0,0,93.26,0,9.82,4.91,14.72,0,0,0,0,7.85,3.93,0.98,0.98
 84-94,0,0,4.25,1.06,0,22.3,1.06,0,13.81,3.19,0,1.06,2.12,0,0,1.06,0,20.18,1.06,2.12,2.12,49.92,2.12,3.19,5.31,32.92,0,0,1.06,0,10.62,0,0,0
 96-106,2.19,0,12.02,0,0,26.23,0,4.37,10.93,8.74,2.19,2.19,2.19,1.09,2.19,0,0,26.23,2.19,0,0,52.46,2.19,16.39,9.84,65.57,0,0,0,0,2.19,1.09,0,2.19
108-118,1.53,0,9.96,0,1.53,15.32,0,0,9.96,5.36,0,0,0,0,0.77,0,0.77,13.02,0.77,0.77,0.77,58.98,0,8.43,4.6,16.85,0,0,0.77,0,0.77,0,0,0
120,0,0,1.96,3.92,0,23.52,1.96,0,7.84,5.88,0,0,0,0,1.96,0,0,13.72,0,0,1.96,66.63,1.96,3.92,0,21.56,0,0,0,0,0,0,0,0
