stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1001.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1281.09,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,42.06,73.6,0,0,0,81.49,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,862.22,28.92,0,0,362.76,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,31.47,22.03,0,0,0,94.41,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,3.15,730.1,15.73,0,0,295.82,6.29,3.15,6.29,28.32,0,3.15,0,0,0,0,0,0
 14-21,0,1,7,28,15,0,37,0,0,0,11,1,0,1,0,0,0,0,0,0,35,0,15,398,5,1,0,10,10,0,31,3,0,23,126,0,0,0,0,0
 24-34,0,0,0.82,7.39,2.46,0,123.95,0,0.82,0.82,9.85,0,0,2.46,0,3.28,1.64,0.82,0,0,64.85,0,22.16,564.75,5.75,2.46,8.21,0,26.27,0,0,1.64,0,1.64,119.02,0,0,11.49,0,0.82
 36-46,0,0,0.81,6.45,1.61,0,169.19,0,0,1.61,10.47,0.81,0,0,0.81,0.81,0,0,1.61,0.81,43.51,2.42,20.14,356.91,0.81,0.81,0,0,4.03,0.81,0,0,0,0,70.09,0,0,4.03,0,0
 48-58,0,0,0,5.74,0,0,149.19,0,1.15,0,18.36,0.57,0,0,0.57,0,1.15,1.15,0.57,0,51.64,1.72,9.75,130.25,0.57,0.57,0.57,0,3.44,0,0,1.15,0.57,0,25.25,0,0,2.87,0,0.57
 60-70,0,0,0,8.83,0,0,106,0.98,0.98,0.98,22.58,3.93,0,0,0,0,0.98,0,0.98,0.98,34.35,0.98,2.94,92.26,0.98,1.96,0.98,0,1.96,0,0,0.98,0,0,15.7,0,0,3.93,0,0
 72-82,0,0,0,8.83,1.96,0,45.16,0,0,0,18.65,3.93,0,0,0,0.98,0,0,0,0,52.03,1.96,10.8,70.68,0,0.98,0.98,0,0,0,0,0,0,0,5.89,0,0,1.96,0,0
 84-94,0,0,0,10.62,3.19,0,46.73,1.06,0,1.06,15.93,3.19,0,0,1.06,0,2.12,0,0,0,41.42,3.19,11.68,53.1,3.19,0,2.12,0,7.43,0,0,1.06,0,0,5.31,1.06,0,3.19,0,0
 96-106,0,0,0,7.65,2.19,2.19,29.51,0,0,0,6.56,4.37,0,0,0,0,1.09,1.09,1.09,0,24.04,0,5.46,54.64,1.09,1.09,1.09,0,2.19,0,0,0,0,0,5.46,1.09,0,2.19,0,2.19
108-118,0,0,0,9.19,3.83,0.77,38.3,0,0,0,13.02,4.6,0,0,3.06,0.77,2.3,0,0.77,0,19.15,0.77,9.19,62.81,0.77,0.77,3.06,0,4.6,0,0,0.77,0,0,3.83,0,1.53,5.36,0.77,0
120,0,0,0,0,1.96,0,33.32,0,0,0,15.68,1.96,0,0,1.96,3.92,1.96,1.96,0,0,11.76,0,11.76,56.83,0,1.96,1.96,0,1.96,0,0,0,0,0,1.96,0,0,3.92,0,0
