stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,7.39,0.82,5.75,0,0,0,0,0,0,0,0
 36-46,0.81,0.81,0,0,0.81,0,0,0.81,0,12.89,3.22,0.81,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,2.3,0,0.57,0,0,0,5.16,0,1.72,0,0,0,0.57,0,0.57,0,1.72
 60-70,0.98,0,0.98,3.93,0,0.98,0,0,0,13.74,0,1.96,0,0,0,0,0.98,0,0,0
 72-82,0.98,0,0,3.93,0,2.94,0,0,0,7.85,1.96,1.96,0,0,0,0.98,1.96,0,0,0.98
 84-94,6.37,0,2.12,4.25,0,0,0,0,0,7.43,1.06,0,0,0,0,0,0,1.06,1.06,0
 96-106,13.11,0,0,6.56,0,2.19,0,0,0,7.65,0,1.09,0,0,0,0,0,0,2.19,0
108-118,3.83,0,0.77,3.06,0,1.53,0.77,0.77,1.53,9.19,3.06,0,0,0,0,0.77,0,0,0,0.77
120,5.88,0,0,5.88,0,0,0,0,0,5.88,1.96,3.92,0,1.96,0,0,0,1.96,0,0
