stage,axial,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
 14-21,0,0,7,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,56.64,0,0,1.64,1.64,0,0,0,0,0,0,9.85,0.82,0,5.75,4.93,0.82,0,0,2.46,0.82,0,3.28,0,0,0,0
 36-46,0,0,39.48,0,0,3.22,0.81,0,0,0.81,0,0,0,20.14,0,0,4.03,4.03,0,0,0.81,0,0,0.81,1.61,0,0,0,0
 48-58,0,0,26.97,0,1.72,0,2.87,0,0,0,0.57,0.57,0,9.75,0.57,0,2.3,2.87,0,0,0,1.15,0,0,2.3,0,0,0,0
 60-70,0,0,55.95,0,1.96,3.93,3.93,0,0.98,0,0,0.98,0.98,29.45,1.96,0.98,0.98,2.94,0,0,0,4.91,0.98,0,0.98,0,0,0,0
 72-82,0,0.98,64.79,0,5.89,3.93,20.61,0.98,0,0,0,0,0,70.68,0.98,2.94,4.91,3.93,0,0.98,0,5.89,0,0,0.98,0,0,3.93,0
 84-94,0,0,107.27,0,2.12,7.43,15.93,1.06,1.06,0,1.06,3.19,0,30.8,2.12,0,1.06,4.25,0,1.06,1.06,12.74,1.06,0,0,0,1.06,2.12,0
 96-106,0,0,81.96,0,1.09,4.37,6.56,0,0,0,0,0,1.09,27.32,0,1.09,1.09,6.56,1.09,1.09,1.09,7.65,0,0,0,1.09,3.28,1.09,1.09
108-118,0,0.77,111.06,0.77,2.3,6.89,9.96,0,0,0,0,1.53,0,27.57,0.77,3.06,3.06,6.13,0,0.77,0.77,1.53,0,0,0,0,0.77,1.53,0
120,1.96,0,182.26,0,0,11.76,9.8,3.92,0,0,0,0,0,39.2,1.96,0,1.96,13.72,1.96,0,1.96,3.92,0,0,0,0,1.96,5.88,0
