stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,1,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,0,61,360,1,0,0,0,0,5,8,0,45,229,32,0,0,0,0
 24-34,0,0.82,0.82,0.82,3.28,0.82,0,136.26,0,0,5.75,1.64,0,0,12.31,0.82,0,0,0,0,0,114.92,0,1.64,132.98,636.16,0,0.82,0.82,0,0,1.64,0,4.93,7.39,46.79,68.95,0,0,0,0
 36-46,0,0,0,0,4.03,0.81,0,97.49,0,0,12.89,23.36,0,0,17.72,0,0.81,0,0,0.81,0,309.38,0,0.81,75.73,298.1,0.81,1.61,1.61,0,0,2.42,0,3.22,0,0,62.84,0,0,0,0.81
 48-58,0,0,0,0,1.15,0.57,0,81.48,0,0.57,12.62,29.26,0,0,10.9,0,0,0,0,2.87,0.57,300.1,0,1.15,60.82,126.24,0.57,0,3.44,0,0.57,0.57,0,1.72,0,0,37.3,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,66.74,2.94,2.94,11.78,21.59,1.96,0,10.8,0.98,0.98,0,0.98,8.83,0,327.83,0.98,6.87,57.91,86.37,1.96,0,6.87,0,0.98,0,0,2.94,0,0,19.63,1.96,0,4.91,0
 72-82,0,0,0.98,0,8.83,0,0,57.92,0,1.96,24.54,23.56,2.94,0,8.83,0.98,0,0,0.98,6.87,0,376.96,0.98,1.96,76.57,73.62,3.93,0,18.65,0,3.93,0,0,0.98,0,0,6.87,9.82,0.98,8.83,0
 84-94,0,0,0,0,11.68,0,0,63.72,0,0,25.49,26.55,2.12,0,8.5,1.06,0,0,1.06,14.87,0,284.63,0,8.5,53.1,63.72,4.25,0,15.93,0,1.06,2.12,0,4.25,0,0,4.25,5.31,0,7.43,0
 96-106,0,0,0,0,12.02,1.09,0,39.34,1.09,1.09,22.95,20.76,0,0,9.84,3.28,1.09,2.19,3.28,6.56,1.09,255.73,0,5.46,48.09,67.76,14.21,0,21.86,0,4.37,4.37,0,5.46,0,0,4.37,4.37,2.19,8.74,0
108-118,0,0,0,0,19.92,0.77,0,23.74,0,0.77,25.28,19.92,1.53,0,3.83,0.77,0.77,0.77,0.77,22.98,0.77,252,0,3.83,26.04,64.34,22.98,0,10.72,0,1.53,3.06,0,6.13,0.77,0,2.3,1.53,0,7.66,0
120,0,0,0,0,19.6,0,1.96,25.48,0,0,27.44,11.76,3.92,0,1.96,5.88,0,0,1.96,29.4,0,246.93,0,1.96,25.48,68.59,31.36,0,19.6,0,1.96,0,0,3.92,0,0,1.96,5.88,0,5.88,0
