stage,endocrine_pancreas,epidermis,eye,fast_muscle,glial,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,5,0,0,0,0
 24-34,0,1.64,3.28,0,0,0,0,0,0,0,0,59.92,4.1,0,0,0,0.82,0,7.39,0,0,0,0
 36-46,0.81,0,8.06,0.81,0,0,0,0,0,0,0.81,131.32,1.61,0,0,0,0,0,23.36,0,0,0,0
 48-58,0,0,9.18,0,1.15,0,0,0,0,0,0.57,132.55,0.57,0,0,0,0,0,16.64,0,0,0,0
 60-70,0,0,57.91,0,0.98,0,0,0,2.94,0,0,204.16,0.98,0,0,0,0,0,27.48,0,0,0,0
 72-82,0,1.96,208.11,0.98,10.8,0,0.98,0,10.8,0,0,319.04,6.87,1.96,0,0,0,0,15.71,0.98,0.98,0,0.98
 84-94,0,2.12,163.55,0,11.68,1.06,0,0,5.31,0,1.06,193.29,5.31,0,0,0,0,0,6.37,0,0,0,0
 96-106,0,3.28,219.66,0,9.84,0,0,0,5.46,0,0,232.78,8.74,0,0,0,1.09,0,5.46,2.19,0,0,0
108-118,0,1.53,184.6,0,13.02,0,0.77,1.53,1.53,0.77,1.53,259.66,3.83,0,0,0,0.77,0,3.06,0,1.53,0.77,0.77
120,0,7.84,150.9,0,1.96,0,0,0,1.96,0,1.96,315.53,1.96,0,0,1.96,0,0,7.84,0,0,0,0
