stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,17,0,0,0
 24-34,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,56.64,0,0,0,0,0,0.82,29.55,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,1.61,0,0,91.85,0,2.42,0,0,0,0,22.56,0,0,0
 48-58,0,0,8.61,0,0,1.15,0,0,0,0,0,1.72,1.15,0.57,93.53,0,0,0,0,0,0,20.08,0,0,0
 60-70,0,0,28.46,0,0.98,4.91,0,0.98,0,0.98,0,2.94,0.98,0.98,264.03,0,1.96,0.98,0,0,0,23.56,1.96,0,0
 72-82,0.98,0,59.88,0,0,1.96,0,0,0,0,0,9.82,5.89,0,242.47,0,0.98,0,0,0,0,11.78,2.94,0.98,0
 84-94,2.12,0,39.3,0,0,5.31,1.06,0,0,0,3.19,8.5,2.12,1.06,117.89,1.06,1.06,0,0,1.06,0,9.56,2.12,0,0
 96-106,0,1.09,37.16,1.09,0,4.37,0,1.09,0,0,0,8.74,6.56,0,102.73,0,2.19,0,0,2.19,0,1.09,0,0,1.09
108-118,0.77,0,31.4,0,0,3.06,0,0,0.77,0,1.53,6.89,2.3,0,122.55,0,0.77,0,0,0,0,3.83,0.77,0.77,0
120,3.92,0,13.72,0,0,1.96,1.96,0,0,0,0,5.88,5.88,1.96,123.47,0,0,0,0,0,0,1.96,0,0,0
