stage,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0.82,0,0,0.82,0,2.46,0,0,9.03,3.28,0,0,0,0,0,0,7.39,0,0,0,0,0
 36-46,0,1.61,0,0,0,0,0,0,0,0,0,1.61,0,1.61,12.89,0.81,0,0,0,0,0,0,6.45,0,0,0,0,0
 48-58,0,3.44,0.57,0,0,0,0,0.57,0,0,0.57,2.3,0,0,8.03,0.57,0.57,0,0,0,0,0.57,5.16,0,0,0,0,0
 60-70,0,1.96,0.98,0,0,1.96,0,0,0,0,0,0.98,0,0,8.83,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0
 72-82,0.98,2.94,0.98,0,0.98,12.76,0,0,0,0.98,0,3.93,0,0,10.8,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0
 84-94,0,1.06,0,0,3.19,30.8,0,0,0,0,0,0,1.06,1.06,9.56,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0
 96-106,1.09,5.46,0,0,3.28,110.38,0,1.09,0,0,0,3.28,0,0,43.71,0,1.09,0,1.09,3.28,0,1.09,1.09,0,0,1.09,0,0
108-118,0,2.3,0.77,0,1.53,217.53,0.77,0,0.77,0.77,0,6.13,0.77,2.3,39.83,0.77,0,0,0,2.3,0,1.53,0.77,0.77,0,0,1.53,0.77
120,0,1.96,0,1.96,1.96,170.5,0,1.96,0,0,0,0,1.96,1.96,35.28,0,0,0,0,0,0,1.96,0,1.96,0,0,0,1.96
