stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,taste,vasculature,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0.82,0,0,0,0,0,0.82,1.64,0,0,0,6.57,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,1.61,0.81,0,0,0.81,0.81,0,4.83,0,0,0,1.61,0,0,0,0.81,0.81
 48-58,0,0,1.72,0,0,0,0,0,1.72,0,0,0.57,1.15,0,0.57,1.15,0,0,0,0.57,0,0,0,0,0.57
 60-70,0,0,2.94,0,0,0.98,0,0,4.91,0,0,0.98,0,0,0.98,1.96,0,0.98,0.98,4.91,0,0,0,0.98,0
 72-82,0,0,1.96,0,0,0.98,0.98,0.98,2.94,0.98,0,0,2.94,0,0,1.96,0,0,0,0.98,0,0,0.98,0.98,0
 84-94,0,0,3.19,0,1.06,1.06,0,2.12,6.37,0,0,0,2.12,0,0,1.06,0,0,0,11.68,0,0,0,0,0
 96-106,0,0,3.28,1.09,0,0,0,1.09,1.09,1.09,0,2.19,1.09,0,0,2.19,0,0,0,10.93,1.09,0,0,3.28,0
108-118,0,0,3.06,0,0,0.77,0.77,0.77,0.77,0,0.77,1.53,2.3,0,1.53,0.77,0.77,0,0,6.89,0,0,1.53,3.06,0
120,0,0,1.96,0,0,0,0,0,7.84,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0
