stage,axial,epidermis,eye,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4,288,0,0,0,1,0,1,0,0
 24-34,0,0,0,0.82,0.82,0,0.82,0,0,6.57,218.35,0,0,1.64,0,0.82,2.46,0.82,0
 36-46,0,0.81,1.61,0,0,0,0,0,0.81,2.42,184.5,0.81,0,0,0,0,3.22,1.61,0
 48-58,0,0,1.15,0,0,0,0.57,0,0.57,7.46,107.3,0.57,0,0,0,0,4.02,1.15,0.57
 60-70,0.98,0,11.78,0,0,0,0,0,0,0.98,71.65,0,0,1.96,0,0,0,0.98,0
 72-82,0,0.98,44.17,0,0,0,0,0.98,0,1.96,61.84,0,0,0,0,0,0,0,0
 84-94,1.06,0,39.3,1.06,0,0,0,2.12,0,2.12,80.71,0,0,0,0,0,1.06,0,0
 96-106,0,0,64.48,0,0,1.09,0,0,0,1.09,57.92,0,0,0,0,0,0,0,0
108-118,0,0,29.87,0,0,0,0,0.77,0,0.77,60.51,0,0,0.77,0,0,0,0,0
120,1.96,0,31.36,0,0,0,0,1.96,0,1.96,82.31,0,0,0,0,0,0,0,0
