stage,blastomeres,epidermis,exocrine.pancreas,fin.epithelia,fin.mesenchyme,glial,immune,mesenchyme,neural,paraxial.mesoderm,pronephros,spinal.cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,1.61,0,0,0,0,0,0,1.61,0,0,1.61,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,1.72,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0.98,1.96,0,0,0,0,0
 84-94,0,0,0,2.12,0,1.06,2.12,0,2.12,0,0,0,0
 96-106,0,1.09,0,0,0,1.09,13.11,0,0,0,0,0,1.09
108-118,0,0,0.77,2.3,0,0,9.96,0,1.53,0,0.77,0,0.77
120,0,0,0,0,0,0,27.44,0,1.96,0,0,0,5.88
