stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,116,9,0,4,0,0,0,0,0,2,0,0,0,0,0,164,0,0,55,240,6,5,41,1,0,0,1,1,0,2,9,0,0,2,0,0
 24-34,0,0,0.82,68.95,2.46,0,8.21,0,0,0,0.82,0,0,0,0.82,0,0,0,144.47,1.64,0.82,22.16,288.12,0.82,5.75,52.53,0,0,0,0,0,0.82,1.64,26.27,0,0,2.46,0,0
 36-46,0,0,0,24.17,1.61,0,104.74,0,0,0,3.22,0,3.22,0,0,0,0,0,115.21,0.81,21.75,21.75,222.36,0,3.22,29.81,0,0.81,1.61,0,0,0,0,117.63,0,0,1.61,0,0.81
 48-58,0,0.57,0,21.23,0.57,0,402.24,0.57,0,3.44,30.99,0,0.57,0.57,0,0,0,0.57,101.56,1.15,18.36,24.67,276.57,0.57,4.59,28.12,0,0,0.57,0,0,0.57,0,236.41,0,1.15,0.57,1.15,1.72
 60-70,0,0,0,14.72,0.98,0,516.28,6.87,0,0.98,21.59,0.98,0,0,0,0,0.98,0.98,112.88,0.98,30.43,20.61,189.43,0,2.94,24.54,0,0.98,0.98,0,0,0,0,187.47,0,14.72,1.96,8.83,0.98
 72-82,0,0,0,27.49,2.94,0,418.19,6.87,0,3.93,23.56,0,0,1.96,0,0.98,1.96,0.98,114.85,0,19.63,23.56,249.34,0.98,5.89,49.08,0,2.94,0.98,0,0,0,0,177.68,0.98,22.58,2.94,21.6,2.94
 84-94,0,0,0,25.49,3.19,0,348.35,5.31,2.12,3.19,29.74,0,0,2.12,0,0,0,0,84.96,1.06,16.99,22.3,177.36,0,6.37,56.29,0,2.12,6.37,0,0,0,0,87.09,0,22.3,1.06,24.43,0
 96-106,0,0,0,40.44,4.37,0,206.55,7.65,0,3.28,28.41,0,0,2.19,0,1.09,2.19,2.19,69.94,0,12.02,29.51,196.71,1.09,13.11,60.11,0,1.09,3.28,0,0,0,0,57.92,1.09,21.86,1.09,24.04,0
108-118,0,0.77,0,26.81,0.77,2.3,223.66,10.72,1.53,0.77,23.74,0.77,0.77,1.53,0.77,0,0,0,49.02,0.77,10.72,12.26,213.7,0.77,10.72,64.34,0,3.06,3.06,0,0,0,0,43.66,0,19.15,0.77,16.85,0
120,1.96,0,0,25.48,1.96,1.96,252.81,1.96,5.88,0,23.52,1.96,0,1.96,0,0,0,1.96,35.28,0,9.8,7.84,162.66,1.96,3.92,56.83,0,0,1.96,0,0,0,0,43.12,0,13.72,1.96,19.6,0
