stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,24.52,324.87,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,18,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,9.85,0,0,1.64,0,0,0,0,0,0,0,0.82,5.75,0,0,3.28,0,4.93,1.64,0,1.64,15.6,0,0,0,0,0,77.98,0,4.1,0,0,0,0,0.82
 36-46,0,0,0,0,3.22,0.81,0,2.42,0,0.81,0,0.81,0,0,0,0,0.81,0,0,0,0.81,4.03,2.42,0,0.81,20.95,0,8.86,0,0,0,78.15,0,2.42,0,0,1.61,0,1.61
 48-58,0,0,0,0,6.89,0,0,4.02,0,4.02,0.57,3.44,0.57,0.57,0,1.72,1.15,0,0.57,1.15,1.72,7.46,1.15,0,1.15,17.79,0,5.16,0,0,0,70,0,2.87,0,0,1.72,0,1.72
 60-70,0,0,0.98,0,22.58,0,0,16.69,0,0,0.98,16.69,0.98,0.98,0,2.94,1.96,0,0,0.98,0,7.85,1.96,0,1.96,39.26,0.98,6.87,0.98,0,0,74.6,0,3.93,0.98,0,2.94,0,4.91
 72-82,0,0,1.96,0,46.14,0.98,0,16.69,0,2.94,1.96,33.38,21.6,1.96,0,6.87,3.93,1.96,0.98,0,0,25.52,3.93,0,0.98,45.16,0,21.6,2.94,0,0,67.73,0.98,0,3.93,0,7.85,0.98,3.93
 84-94,0,0,0,0,71.16,1.06,0,9.56,0,8.5,2.12,13.81,33.99,1.06,1.06,8.5,6.37,0,1.06,1.06,1.06,16.99,7.43,2.12,1.06,20.18,0,12.74,5.31,0,0,187.98,1.06,1.06,11.68,0,7.43,0,0
 96-106,0,0,5.46,0,123.49,0,2.19,14.21,1.09,3.28,1.09,28.41,61.2,0,2.19,9.84,14.21,0,2.19,3.28,1.09,21.86,6.56,0,0,38.25,0,19.67,4.37,0,0,156.28,0,3.28,37.16,2.19,10.93,1.09,5.46
108-118,0,0,1.53,1.53,120.26,0.77,0,6.89,0,13.02,0,18.38,64.34,0,0,15.32,11.49,0.77,1.53,3.83,0.77,16.09,3.06,0.77,0.77,45.96,0,11.49,3.06,0,0.77,128.68,0.77,0,42.89,0,7.66,1.53,3.83
120,0,0,1.96,0,76.43,0,0,3.92,0,5.88,0,19.6,52.91,0,0,5.88,1.96,1.96,1.96,3.92,0,23.52,5.88,1.96,0,35.28,0,9.8,3.92,0,0,90.15,0,0,15.68,0,0,1.96,0
