stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,1,0,3,2,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,8.21,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,1.61,0,0,18.53,0,0,0,0,0,0,0,0,0,5.64,0,0,0
 48-58,0,0,0,0,1.72,0.57,0,0,0,0,1.72,0,0.57,4.59,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,1.96,0,0,0.98,0,0,12.76,0,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0,4.91,0.98,0.98,12.76,0,0.98,0,0,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,2.12,6.37,0,0,0,1.06,0,3.19,0,0,5.31,2.12,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,0,2.19,0,1.09,3.28,0,0,1.09,0,0,3.28,0,1.09,2.19,0,0,1.09,0,0,0,0,0,2.19,0
108-118,0,0,0.77,0,5.36,0.77,0,0,0,0.77,0.77,0,0.77,6.13,0,0,0,0,0.77,0.77,0,0,0,0,0,0.77,0.77
120,0,0,0,1.96,1.96,0,0,1.96,1.96,1.96,3.92,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
